id,external_id,project_id,area_name,unit_type,bedrooms,area_sqm,total_units,status,source_revision,created_at,updated_at,mirrored_at,mirrored_revision,last_sync_batch_id
920001,A-0001,910001,Lusso Saigon,1 PN+,1,51.66,7,active,1,2025-05-30T10:00:00+07:00,2025-05-31T07:30:00+07:00,2025-05-31T00:00:00+00:00,1,seed-batch-areas-001
920002,A-0002,910001,Lusso Saigon,2 PN,2,56.56,25,active,1,2025-05-30T10:00:00+07:00,2025-05-31T07:30:00+07:00,2025-05-31T00:00:00+00:00,1,seed-batch-areas-001
920003,A-0003,910001,Lusso Saigon,3 PN,3,74.82,19,active,1,2025-05-30T10:00:00+07:00,2025-05-31T07:30:00+07:00,2025-05-31T00:00:00+00:00,1,seed-batch-areas-001
920004,A-0004,910001,Lusso Saigon,4 PN,4,114.68,3,active,1,2025-05-30T10:00:00+07:00,2025-05-31T07:30:00+07:00,2025-05-31T00:00:00+00:00,1,seed-batch-areas-001
920005,A-0005,910001,Lusso Saigon,Căn hộ Loft,2,60.1,4,active,1,2025-05-30T10:00:00+07:00,2025-05-31T07:30:00+07:00,2025-05-31T00:00:00+00:00,1,seed-batch-areas-001
920006,A-0006,910001,Lusso Saigon,Sky villa,4,139.11,1,active,1,2025-05-30T10:00:00+07:00,2025-05-31T07:30:00+07:00,2025-05-31T00:00:00+00:00,1,seed-batch-areas-001
920007,A-0007,910001,Lusso d'Arte,1 PN,1,38.19,1,active,1,2025-05-30T10:00:00+07:00,2025-05-31T07:30:00+07:00,2025-05-31T00:00:00+00:00,1,seed-batch-areas-001
920008,A-0008,910001,Lusso d'Arte,1 PN+,1,50.14,6,active,1,2025-05-30T10:00:00+07:00,2025-05-31T07:30:00+07:00,2025-05-31T00:00:00+00:00,1,seed-batch-areas-001
920009,A-0009,910001,Lusso d'Arte,2 PN,2,60.13,45,active,1,2025-05-30T10:00:00+07:00,2025-05-31T07:30:00+07:00,2025-05-31T00:00:00+00:00,1,seed-batch-areas-001
920010,A-0010,910001,Lusso d'Arte,4 PN,4,114.21,4,active,1,2025-05-30T10:00:00+07:00,2025-05-31T07:30:00+07:00,2025-05-31T00:00:00+00:00,1,seed-batch-areas-001
920011,A-0011,910001,Lusso d'Arte,Căn hộ Loft,2,60.05,5,active,1,2025-05-30T10:00:00+07:00,2025-05-31T07:30:00+07:00,2025-05-31T00:00:00+00:00,1,seed-batch-areas-001
920012,A-0012,910001,Risa,1 PN,1,44.73,29,active,1,2025-05-30T10:00:00+07:00,2025-05-31T07:30:00+07:00,2025-05-31T00:00:00+00:00,1,seed-batch-areas-001
920013,A-0013,910001,Risa,2 PN + 1 WC,2,57.28,1,active,1,2025-05-30T10:00:00+07:00,2025-05-31T07:30:00+07:00,2025-05-31T00:00:00+00:00,1,seed-batch-areas-001
920014,A-0014,910001,Risa,2 PN + 2 WC,2,65.76,39,active,1,2025-05-30T10:00:00+07:00,2025-05-31T07:30:00+07:00,2025-05-31T00:00:00+00:00,1,seed-batch-areas-001
920015,A-0015,910001,Risa,3 PN,3,75.84,8,active,1,2025-05-30T10:00:00+07:00,2025-05-31T07:30:00+07:00,2025-05-31T00:00:00+00:00,1,seed-batch-areas-001
920016,A-0016,910001,Risa,Căn hộ Loft,2,56.13,19,active,1,2025-05-30T10:00:00+07:00,2025-05-31T07:30:00+07:00,2025-05-31T00:00:00+00:00,1,seed-batch-areas-001
920017,A-0017,910001,Risa,Căn hộ sân vườn,2,168.86,4,active,1,2025-05-30T10:00:00+07:00,2025-05-31T07:30:00+07:00,2025-05-31T00:00:00+00:00,1,seed-batch-areas-001
920018,A-0018,910001,Risa,RISA,2,49.01,14,active,1,2025-05-30T10:00:00+07:00,2025-05-31T07:30:00+07:00,2025-05-31T00:00:00+00:00,1,seed-batch-areas-001
920019,A-0019,910001,Zenia,1 PN,1,42.01,1,active,1,2025-05-30T10:00:00+07:00,2025-05-31T07:30:00+07:00,2025-05-31T00:00:00+00:00,1,seed-batch-areas-001
920020,A-0020,910001,Zenia,1 PN+,1,49.14,31,active,1,2025-05-30T10:00:00+07:00,2025-05-31T07:30:00+07:00,2025-05-31T00:00:00+00:00,1,seed-batch-areas-001
920021,A-0021,910001,Zenia,2 PN,2,60.75,82,active,1,2025-05-30T10:00:00+07:00,2025-05-31T07:30:00+07:00,2025-05-31T00:00:00+00:00,1,seed-batch-areas-001
920022,A-0022,910001,Zenia,3 PN,3,74.27,29,active,1,2025-05-30T10:00:00+07:00,2025-05-31T07:30:00+07:00,2025-05-31T00:00:00+00:00,1,seed-batch-areas-001
920023,A-0023,910001,Zenia,Căn hộ Loft,2,60.05,11,active,1,2025-05-30T10:00:00+07:00,2025-05-31T07:30:00+07:00,2025-05-31T00:00:00+00:00,1,seed-batch-areas-001
920024,A-0024,910001,Zenia,Căn hộ sân vườn,2,115.38,4,active,1,2025-05-30T10:00:00+07:00,2025-05-31T07:30:00+07:00,2025-05-31T00:00:00+00:00,1,seed-batch-areas-001
