id,external_id,external_unit_id,deal_status,reserved_at,source_revision,created_at,updated_at
940002,D-0002,U-0005,reserved,2025-08-18,1,2025-08-05T09:00:00+07:00,2025-08-18T17:00:00+07:00
940009,D-0009,U-0018,reserved,2025-07-17,1,2025-07-12T09:00:00+07:00,2025-07-17T17:00:00+07:00
940012,D-0012,U-0026,reserved,2025-08-01,1,2025-07-26T09:00:00+07:00,2025-08-01T17:00:00+07:00
940014,D-0014,U-0029,reserved,2025-07-24,1,2025-07-21T09:00:00+07:00,2025-07-24T17:00:00+07:00
940015,D-0015,U-0030,reserved,2025-08-11,1,2025-07-31T09:00:00+07:00,2025-08-11T17:00:00+07:00
940018,D-0018,U-0033,reserved,2025-08-10,1,2025-07-31T09:00:00+07:00,2025-08-10T17:00:00+07:00
940019,D-0019,U-0034,reserved,2025-07-16,1,2025-07-14T09:00:00+07:00,2025-07-16T17:00:00+07:00
940023,D-0023,U-0046,reserved,2025-08-03,1,2025-07-24T09:00:00+07:00,2025-08-03T17:00:00+07:00
940026,D-0026,U-0050,reserved,2025-07-19,1,2025-07-17T09:00:00+07:00,2025-07-19T17:00:00+07:00
940027,D-0027,U-0054,reserved,2025-08-14,1,2025-08-03T09:00:00+07:00,2025-08-14T17:00:00+07:00
940028,D-0028,U-0056,reserved,2025-06-28,1,2025-06-25T09:00:00+07:00,2025-06-28T17:00:00+07:00
940029,D-0029,U-0057,reserved,2025-08-01,1,2025-07-25T09:00:00+07:00,2025-08-01T17:00:00+07:00
940031,D-0031,U-0060,reserved,2025-09-11,1,2025-08-29T09:00:00+07:00,2025-09-11T17:00:00+07:00
940032,D-0032,U-0062,reserved,2025-09-06,1,2025-08-26T09:00:00+07:00,2025-09-06T17:00:00+07:00
940034,D-0034,U-0072,reserved,2025-08-25,1,2025-08-21T09:00:00+07:00,2025-08-25T17:00:00+07:00
940035,D-0035,U-0074,reserved,2025-09-12,1,2025-08-27T09:00:00+07:00,2025-09-12T17:00:00+07:00
940041,D-0041,U-0084,reserved,2025-08-24,1,2025-08-14T09:00:00+07:00,2025-08-24T17:00:00+07:00
940043,D-0043,U-0090,reserved,2025-09-11,1,2025-08-31T09:00:00+07:00,2025-09-11T17:00:00+07:00
940046,D-0046,U-0097,reserved,2025-08-29,1,2025-08-15T09:00:00+07:00,2025-08-29T17:00:00+07:00
940050,D-0050,U-0107,reserved,2025-09-19,1,2025-09-03T09:00:00+07:00,2025-09-19T17:00:00+07:00
940052,D-0052,U-0112,reserved,2025-08-22,1,2025-08-17T09:00:00+07:00,2025-08-22T17:00:00+07:00
940054,D-0054,U-0115,reserved,2025-08-14,1,2025-08-11T09:00:00+07:00,2025-08-14T17:00:00+07:00
940059,D-0059,U-0124,reserved,2025-08-23,1,2025-08-15T09:00:00+07:00,2025-08-23T17:00:00+07:00
940061,D-0061,U-0128,reserved,2025-09-09,1,2025-08-24T09:00:00+07:00,2025-09-09T17:00:00+07:00
940065,D-0065,U-0133,reserved,2025-08-22,1,2025-08-10T09:00:00+07:00,2025-08-22T17:00:00+07:00
940066,D-0066,U-0135,reserved,2025-08-25,1,2025-08-15T09:00:00+07:00,2025-08-25T17:00:00+07:00
940067,D-0067,U-0136,reserved,2025-08-02,1,2025-07-29T09:00:00+07:00,2025-08-02T17:00:00+07:00
940072,D-0072,U-0145,reserved,2025-08-19,1,2025-08-05T09:00:00+07:00,2025-08-19T17:00:00+07:00
940083,D-0083,U-0161,reserved,2025-08-10,1,2025-08-02T09:00:00+07:00,2025-08-10T17:00:00+07:00
940085,D-0085,U-0163,reserved,2025-08-24,1,2025-08-16T09:00:00+07:00,2025-08-24T17:00:00+07:00
940087,D-0087,U-0166,reserved,2025-08-18,1,2025-08-04T09:00:00+07:00,2025-08-18T17:00:00+07:00
940088,D-0088,U-0168,reserved,2025-08-12,1,2025-08-08T09:00:00+07:00,2025-08-12T17:00:00+07:00
940089,D-0089,U-0170,reserved,2025-08-09,1,2025-07-27T09:00:00+07:00,2025-08-09T17:00:00+07:00
940091,D-0091,U-0180,reserved,2025-08-01,1,2025-07-16T09:00:00+07:00,2025-08-01T17:00:00+07:00
940093,D-0093,U-0184,reserved,2025-08-20,1,2025-08-10T09:00:00+07:00,2025-08-20T17:00:00+07:00
940096,D-0096,U-0190,reserved,2025-08-12,1,2025-08-04T09:00:00+07:00,2025-08-12T17:00:00+07:00
940098,D-0098,U-0192,reserved,2025-08-10,1,2025-08-04T09:00:00+07:00,2025-08-10T17:00:00+07:00
940100,D-0100,U-0196,reserved,2025-08-16,1,2025-08-06T09:00:00+07:00,2025-08-16T17:00:00+07:00
940110,D-0110,U-0212,reserved,2025-08-20,1,2025-08-07T09:00:00+07:00,2025-08-20T17:00:00+07:00
940111,D-0111,U-0213,reserved,2025-08-06,1,2025-08-04T09:00:00+07:00,2025-08-06T17:00:00+07:00
940112,D-0112,U-0216,reserved,2025-08-20,1,2025-08-15T09:00:00+07:00,2025-08-20T17:00:00+07:00
940113,D-0113,U-0217,reserved,2025-08-11,1,2025-08-05T09:00:00+07:00,2025-08-11T17:00:00+07:00
940116,D-0116,U-0222,reserved,2025-09-03,1,2025-08-21T09:00:00+07:00,2025-09-03T17:00:00+07:00
940127,D-0127,U-0246,reserved,2025-08-24,1,2025-08-19T09:00:00+07:00,2025-08-24T17:00:00+07:00
940130,D-0130,U-0250,reserved,2025-08-24,1,2025-08-22T09:00:00+07:00,2025-08-24T17:00:00+07:00
940131,D-0131,U-0252,reserved,2025-09-16,1,2025-09-03T09:00:00+07:00,2025-09-16T17:00:00+07:00
940134,D-0134,U-0258,reserved,2025-09-03,1,2025-08-22T09:00:00+07:00,2025-09-03T17:00:00+07:00
940135,D-0135,U-0260,reserved,2025-08-19,1,2025-08-12T09:00:00+07:00,2025-08-19T17:00:00+07:00
940137,D-0137,U-0262,reserved,2025-09-07,1,2025-09-02T09:00:00+07:00,2025-09-07T17:00:00+07:00
940138,D-0138,U-0265,reserved,2025-09-20,1,2025-09-09T09:00:00+07:00,2025-09-20T17:00:00+07:00
940147,D-0147,U-0281,reserved,2025-09-20,1,2025-09-09T09:00:00+07:00,2025-09-20T17:00:00+07:00
940154,D-0154,U-0295,reserved,2025-08-23,1,2025-08-18T09:00:00+07:00,2025-08-23T17:00:00+07:00
940156,D-0156,U-0301,reserved,2025-09-22,1,2025-09-09T09:00:00+07:00,2025-09-22T17:00:00+07:00
940157,D-0157,U-0302,reserved,2025-09-03,1,2025-08-27T09:00:00+07:00,2025-09-03T17:00:00+07:00
940159,D-0159,U-0306,reserved,2025-09-07,1,2025-08-28T09:00:00+07:00,2025-09-07T17:00:00+07:00
940165,D-0165,U-0314,reserved,2025-08-16,1,2025-08-13T09:00:00+07:00,2025-08-16T17:00:00+07:00
940166,D-0166,U-0315,reserved,2025-08-26,1,2025-08-19T09:00:00+07:00,2025-08-26T17:00:00+07:00
940171,D-0171,U-0326,reserved,2025-09-21,1,2025-09-08T09:00:00+07:00,2025-09-21T17:00:00+07:00
940173,D-0173,U-0328,reserved,2025-08-26,1,2025-08-20T09:00:00+07:00,2025-08-26T17:00:00+07:00
940177,D-0177,U-0342,reserved,2025-09-12,1,2025-09-06T09:00:00+07:00,2025-09-12T17:00:00+07:00
940183,D-0183,U-0364,reserved,2025-09-14,1,2025-09-03T09:00:00+07:00,2025-09-14T17:00:00+07:00
940186,D-0186,U-0374,reserved,2025-09-19,1,2025-09-08T09:00:00+07:00,2025-09-19T17:00:00+07:00
940191,D-0191,U-0388,reserved,2025-09-09,1,2025-08-30T09:00:00+07:00,2025-09-09T17:00:00+07:00
