id,external_id,area_id,area_name,unit_type,unit_code,unit_status,source_revision,created_at,updated_at,mirrored_at,mirrored_revision,last_sync_batch_id
930001,U-0001,920002,Lusso Saigon,2 PN,A1.06.05,sold,1,2025-05-30T11:00:00+07:00,2025-05-31T00:00:00+00:00,2025-05-31T00:00:00+00:00,1,seed-batch-units-001
930002,U-0002,920003,Lusso Saigon,3 PN,A1.06.15,available,1,2025-05-30T11:00:00+07:00,2025-05-31T00:00:00+00:00,2025-05-31T00:00:00+00:00,1,seed-batch-units-001
930003,U-0003,920002,Lusso Saigon,2 PN,A1.07.03,available,1,2025-05-30T11:00:00+07:00,2025-05-31T00:00:00+00:00,2025-05-31T00:00:00+00:00,1,seed-batch-units-001
930004,U-0004,920002,Lusso Saigon,2 PN,A1.07.14,available,1,2025-05-30T11:00:00+07:00,2025-05-31T00:00:00+00:00,2025-05-31T00:00:00+00:00,1,seed-batch-units-001
930005,U-0005,920002,Lusso Saigon,2 PN,A1.09.03,reserved,1,2025-05-30T11:00:00+07:00,2025-05-31T00:00:00+00:00,2025-05-31T00:00:00+00:00,1,seed-batch-units-001
930006,U-0006,920002,Lusso Saigon,2 PN,A1.11.05,sold,1,2025-05-30T11:00:00+07:00,2025-05-31T00:00:00+00:00,2025-05-31T00:00:00+00:00,1,seed-batch-units-001
930007,U-0007,920003,Lusso Saigon,3 PN,A1.13.02,sold,1,2025-05-30T11:00:00+07:00,2025-05-31T00:00:00+00:00,2025-05-31T00:00:00+00:00,1,seed-batch-units-001
930008,U-0008,920002,Lusso Saigon,2 PN,A1.13.05,available,1,2025-05-30T11:00:00+07:00,2025-05-31T00:00:00+00:00,2025-05-31T00:00:00+00:00,1,seed-batch-units-001
930009,U-0009,920002,Lusso Saigon,2 PN,A1.13.06,available,1,2025-05-30T11:00:00+07:00,2025-05-31T00:00:00+00:00,2025-05-31T00:00:00+00:00,1,seed-batch-units-001
930010,U-0010,920002,Lusso Saigon,2 PN,A1.13.13,sold,1,2025-05-30T11:00:00+07:00,2025-05-31T00:00:00+00:00,2025-05-31T00:00:00+00:00,1,seed-batch-units-001
930011,U-0011,920003,Lusso Saigon,3 PN,A1.13.15,sold,1,2025-05-30T11:00:00+07:00,2025-05-31T00:00:00+00:00,2025-05-31T00:00:00+00:00,1,seed-batch-units-001
930012,U-0012,920003,Lusso Saigon,3 PN,A1.17.02,sold,1,2025-05-30T11:00:00+07:00,2025-05-31T00:00:00+00:00,2025-05-31T00:00:00+00:00,1,seed-batch-units-001
930013,U-0013,920005,Lusso Saigon,Căn hộ Loft,A1.19.05,available,1,2025-05-30T11:00:00+07:00,2025-05-31T00:00:00+00:00,2025-05-31T00:00:00+00:00,1,seed-batch-units-001
930014,U-0014,920005,Lusso Saigon,Căn hộ Loft,A1.19.10,available,1,2025-05-30T11:00:00+07:00,2025-05-31T00:00:00+00:00,2025-05-31T00:00:00+00:00,1,seed-batch-units-001
930015,U-0015,920002,Lusso Saigon,2 PN,A1.22.05,available,1,2025-05-30T11:00:00+07:00,2025-05-31T00:00:00+00:00,2025-05-31T00:00:00+00:00,1,seed-batch-units-001
930016,U-0016,920003,Lusso Saigon,3 PN,A1.23.02,sold,1,2025-05-30T11:00:00+07:00,2025-05-31T00:00:00+00:00,2025-05-31T00:00:00+00:00,1,seed-batch-units-001
930017,U-0017,920003,Lusso Saigon,3 PN,A1.25.15,available,1,2025-05-30T11:00:00+07:00,2025-05-31T00:00:00+00:00,2025-05-31T00:00:00+00:00,1,seed-batch-units-001
930018,U-0018,920003,Lusso Saigon,3 PN,A1.28.15,reserved,1,2025-05-30T11:00:00+07:00,2025-05-31T00:00:00+00:00,2025-05-31T00:00:00+00:00,1,seed-batch-units-001
930019,U-0019,920002,Lusso Saigon,2 PN,A1.29.05,available,1,2025-05-30T11:00:00+07:00,2025-05-31T00:00:00+00:00,2025-05-31T00:00:00+00:00,1,seed-batch-units-001
930020,U-0020,920002,Lusso Saigon,2 PN,A1.32.14,sold,1,2025-05-30T11:00:00+07:00,2025-05-31T00:00:00+00:00,2025-05-31T00:00:00+00:00,1,seed-batch-units-001
930021,U-0021,920003,Lusso Saigon,3 PN,A1.34.02,sold,1,2025-05-30T11:00:00+07:00,2025-05-31T00:00:00+00:00,2025-05-31T00:00:00+00:00,1,seed-batch-units-001
930022,U-0022,920003,Lusso Saigon,3 PN,A1.35.15,available,1,2025-05-30T11:00:00+07:00,2025-05-31T00:00:00+00:00,2025-05-31T00:00:00+00:00,1,seed-batch-units-001
930023,U-0023,920002,Lusso Saigon,2 PN,A1.37.05,available,1,2025-05-30T11:00:00+07:00,2025-05-31T00:00:00+00:00,2025-05-31T00:00:00+00:00,1,seed-batch-units-001
930024,U-0024,920003,Lusso Saigon,3 PN,A2.05.02,available,1,2025-05-30T11:00:00+07:00,2025-05-31T00:00:00+00:00,2025-05-31T00:00:00+00:00,1,seed-batch-units-001
930025,U-0025,920001,Lusso Saigon,1 PN+,A2.05.11,available,1,2025-05-30T11:00:00+07:00,2025-05-31T00:00:00+00:00,2025-05-31T00:00:00+00:00,1,seed-batch-units-001
930026,U-0026,920002,Lusso Saigon,2 PN,A2.05.12,reserved,1,2025-05-30T11:00:00+07:00,2025-05-31T00:00:00+00:00,2025-05-31T00:00:00+00:00,1,seed-batch-units-001
930027,U-0027,920002,Lusso Saigon,2 PN,A2.05.13,sold,1,2025-05-30T11:00:00+07:00,2025-05-31T00:00:00+00:00,2025-05-31T00:00:00+00:00,1,seed-batch-units-001
930028,U-0028,920002,Lusso Saigon,2 PN,A2.05.14,available,1,2025-05-30T11:00:00+07:00,2025-05-31T00:00:00+00:00,2025-05-31T00:00:00+00:00,1,seed-batch-units-001
930029,U-0029,920001,Lusso Saigon,1 PN+,A2.06.11,reserved,1,2025-05-30T11:00:00+07:00,2025-05-31T00:00:00+00:00,2025-05-31T00:00:00+00:00,1,seed-batch-units-001
930030,U-0030,920002,Lusso Saigon,2 PN,A2.06.13,reserved,1,2025-05-30T11:00:00+07:00,2025-05-31T00:00:00+00:00,2025-05-31T00:00:00+00:00,1,seed-batch-units-001
930031,U-0031,920001,Lusso Saigon,1 PN+,A2.07.11,sold,1,2025-05-30T11:00:00+07:00,2025-05-31T00:00:00+00:00,2025-05-31T00:00:00+00:00,1,seed-batch-units-001
930032,U-0032,920002,Lusso Saigon,2 PN,A2.07.13,sold,1,2025-05-30T11:00:00+07:00,2025-05-31T00:00:00+00:00,2025-05-31T00:00:00+00:00,1,seed-batch-units-001
930033,U-0033,920003,Lusso Saigon,3 PN,A2.07.15,reserved,1,2025-05-30T11:00:00+07:00,2025-05-31T00:00:00+00:00,2025-05-31T00:00:00+00:00,1,seed-batch-units-001
930034,U-0034,920002,Lusso Saigon,2 PN,A2.08.04,reserved,1,2025-05-30T11:00:00+07:00,2025-05-31T00:00:00+00:00,2025-05-31T00:00:00+00:00,1,seed-batch-units-001
930035,U-0035,920001,Lusso Saigon,1 PN+,A2.09.11,available,1,2025-05-30T11:00:00+07:00,2025-05-31T00:00:00+00:00,2025-05-31T00:00:00+00:00,1,seed-batch-units-001
930036,U-0036,920002,Lusso Saigon,2 PN,A2.10.04,available,1,2025-05-30T11:00:00+07:00,2025-05-31T00:00:00+00:00,2025-05-31T00:00:00+00:00,1,seed-batch-units-001
930037,U-0037,920003,Lusso Saigon,3 PN,A2.12.02,available,1,2025-05-30T11:00:00+07:00,2025-05-31T00:00:00+00:00,2025-05-31T00:00:00+00:00,1,seed-batch-units-001
930038,U-0038,920003,Lusso Saigon,3 PN,A2.12.15,sold,1,2025-05-30T11:00:00+07:00,2025-05-31T00:00:00+00:00,2025-05-31T00:00:00+00:00,1,seed-batch-units-001
930039,U-0039,920002,Lusso Saigon,2 PN,A2.13.03,available,1,2025-05-30T11:00:00+07:00,2025-05-31T00:00:00+00:00,2025-05-31T00:00:00+00:00,1,seed-batch-units-001
930040,U-0040,920001,Lusso Saigon,1 PN+,A2.13.11,sold,1,2025-05-30T11:00:00+07:00,2025-05-31T00:00:00+00:00,2025-05-31T00:00:00+00:00,1,seed-batch-units-001
930041,U-0041,920005,Lusso Saigon,Căn hộ Loft,A2.19.07,available,1,2025-05-30T11:00:00+07:00,2025-05-31T00:00:00+00:00,2025-05-31T00:00:00+00:00,1,seed-batch-units-001
930042,U-0042,920005,Lusso Saigon,Căn hộ Loft,A2.19.13,available,1,2025-05-30T11:00:00+07:00,2025-05-31T00:00:00+00:00,2025-05-31T00:00:00+00:00,1,seed-batch-units-001
930043,U-0043,920003,Lusso Saigon,3 PN,A2.21.02,available,1,2025-05-30T11:00:00+07:00,2025-05-31T00:00:00+00:00,2025-05-31T00:00:00+00:00,1,seed-batch-units-001
930044,U-0044,920001,Lusso Saigon,1 PN+,A2.22.11,available,1,2025-05-30T11:00:00+07:00,2025-05-31T00:00:00+00:00,2025-05-31T00:00:00+00:00,1,seed-batch-units-001
930045,U-0045,920003,Lusso Saigon,3 PN,A2.26.02,sold,1,2025-05-30T11:00:00+07:00,2025-05-31T00:00:00+00:00,2025-05-31T00:00:00+00:00,1,seed-batch-units-001
930046,U-0046,920001,Lusso Saigon,1 PN+,A2.29.11,reserved,1,2025-05-30T11:00:00+07:00,2025-05-31T00:00:00+00:00,2025-05-31T00:00:00+00:00,1,seed-batch-units-001
930047,U-0047,920004,Lusso Saigon,4 PN,A2.31.10,sold,1,2025-05-30T11:00:00+07:00,2025-05-31T00:00:00+00:00,2025-05-31T00:00:00+00:00,1,seed-batch-units-001
930048,U-0048,920003,Lusso Saigon,3 PN,A2.31.15,sold,1,2025-05-30T11:00:00+07:00,2025-05-31T00:00:00+00:00,2025-05-31T00:00:00+00:00,1,seed-batch-units-001
930049,U-0049,920002,Lusso Saigon,2 PN,A2.33.04,available,1,2025-05-30T11:00:00+07:00,2025-05-31T00:00:00+00:00,2025-05-31T00:00:00+00:00,1,seed-batch-units-001
930050,U-0050,920003,Lusso Saigon,3 PN,A2.33.15,reserved,1,2025-05-30T11:00:00+07:00,2025-05-31T00:00:00+00:00,2025-05-31T00:00:00+00:00,1,seed-batch-units-001
930051,U-0051,920002,Lusso Saigon,2 PN,A2.34.12,available,1,2025-05-30T11:00:00+07:00,2025-05-31T00:00:00+00:00,2025-05-31T00:00:00+00:00,1,seed-batch-units-001
930052,U-0052,920002,Lusso Saigon,2 PN,A2.34.03,available,1,2025-05-30T11:00:00+07:00,2025-05-31T00:00:00+00:00,2025-05-31T00:00:00+00:00,1,seed-batch-units-001
930053,U-0053,920002,Lusso Saigon,2 PN,A2.34.04,available,1,2025-05-30T11:00:00+07:00,2025-05-31T00:00:00+00:00,2025-05-31T00:00:00+00:00,1,seed-batch-units-001
930054,U-0054,920003,Lusso Saigon,3 PN,A2.35.02,reserved,1,2025-05-30T11:00:00+07:00,2025-05-31T00:00:00+00:00,2025-05-31T00:00:00+00:00,1,seed-batch-units-001
930055,U-0055,920003,Lusso Saigon,3 PN,A2.37.15,available,1,2025-05-30T11:00:00+07:00,2025-05-31T00:00:00+00:00,2025-05-31T00:00:00+00:00,1,seed-batch-units-001
930056,U-0056,920006,Lusso Saigon,Sky villa,A2.38.14,reserved,1,2025-05-30T11:00:00+07:00,2025-05-31T00:00:00+00:00,2025-05-31T00:00:00+00:00,1,seed-batch-units-001
930057,U-0057,920002,Lusso Saigon,2 PN,A2.39.04,reserved,1,2025-05-30T11:00:00+07:00,2025-05-31T00:00:00+00:00,2025-05-31T00:00:00+00:00,1,seed-batch-units-001
930058,U-0058,920004,Lusso Saigon,4 PN,A2.32.10,sold,1,2025-05-30T11:00:00+07:00,2025-05-31T00:00:00+00:00,2025-05-31T00:00:00+00:00,1,seed-batch-units-001
930059,U-0059,920004,Lusso Saigon,4 PN,A2.36.10,available,1,2025-05-30T11:00:00+07:00,2025-05-31T00:00:00+00:00,2025-05-31T00:00:00+00:00,1,seed-batch-units-001
930060,U-0060,920009,Lusso d'Arte,2 PN,B2.05.03,reserved,1,2025-05-30T11:00:00+07:00,2025-05-31T00:00:00+00:00,2025-05-31T00:00:00+00:00,1,seed-batch-units-001
930061,U-0061,920008,Lusso d'Arte,1 PN+,B2.05.12,available,1,2025-05-30T11:00:00+07:00,2025-05-31T00:00:00+00:00,2025-05-31T00:00:00+00:00,1,seed-batch-units-001
930062,U-0062,920009,Lusso d'Arte,2 PN,B2.05.14,reserved,1,2025-05-30T11:00:00+07:00,2025-05-31T00:00:00+00:00,2025-05-31T00:00:00+00:00,1,seed-batch-units-001
930063,U-0063,920009,Lusso d'Arte,2 PN,B2.06.03,available,1,2025-05-30T11:00:00+07:00,2025-05-31T00:00:00+00:00,2025-05-31T00:00:00+00:00,1,seed-batch-units-001
930064,U-0064,920009,Lusso d'Arte,2 PN,B2.06.04,available,1,2025-05-30T11:00:00+07:00,2025-05-31T00:00:00+00:00,2025-05-31T00:00:00+00:00,1,seed-batch-units-001
930065,U-0065,920008,Lusso d'Arte,1 PN+,B2.06.06,available,1,2025-05-30T11:00:00+07:00,2025-05-31T00:00:00+00:00,2025-05-31T00:00:00+00:00,1,seed-batch-units-001
930066,U-0066,920009,Lusso d'Arte,2 PN,B2.06.07,available,1,2025-05-30T11:00:00+07:00,2025-05-31T00:00:00+00:00,2025-05-31T00:00:00+00:00,1,seed-batch-units-001
930067,U-0067,920009,Lusso d'Arte,2 PN,B2.06.10,available,1,2025-05-30T11:00:00+07:00,2025-05-31T00:00:00+00:00,2025-05-31T00:00:00+00:00,1,seed-batch-units-001
930068,U-0068,920009,Lusso d'Arte,2 PN,B2.06.13,sold,1,2025-05-30T11:00:00+07:00,2025-05-31T00:00:00+00:00,2025-05-31T00:00:00+00:00,1,seed-batch-units-001
930069,U-0069,920009,Lusso d'Arte,2 PN,B2.07.05,available,1,2025-05-30T11:00:00+07:00,2025-05-31T00:00:00+00:00,2025-05-31T00:00:00+00:00,1,seed-batch-units-001
930070,U-0070,920007,Lusso d'Arte,1 PN,B2.07.08,available,1,2025-05-30T11:00:00+07:00,2025-05-31T00:00:00+00:00,2025-05-31T00:00:00+00:00,1,seed-batch-units-001
930071,U-0071,920009,Lusso d'Arte,2 PN,B2.07.10,available,1,2025-05-30T11:00:00+07:00,2025-05-31T00:00:00+00:00,2025-05-31T00:00:00+00:00,1,seed-batch-units-001
930072,U-0072,920009,Lusso d'Arte,2 PN,B2.09.04,reserved,1,2025-05-30T11:00:00+07:00,2025-05-31T00:00:00+00:00,2025-05-31T00:00:00+00:00,1,seed-batch-units-001
930073,U-0073,920008,Lusso d'Arte,1 PN+,B2.09.06,available,1,2025-05-30T11:00:00+07:00,2025-05-31T00:00:00+00:00,2025-05-31T00:00:00+00:00,1,seed-batch-units-001
930074,U-0074,920009,Lusso d'Arte,2 PN,B2.09.07,reserved,1,2025-05-30T11:00:00+07:00,2025-05-31T00:00:00+00:00,2025-05-31T00:00:00+00:00,1,seed-batch-units-001
930075,U-0075,920009,Lusso d'Arte,2 PN,B2.10.03,sold,1,2025-05-30T11:00:00+07:00,2025-05-31T00:00:00+00:00,2025-05-31T00:00:00+00:00,1,seed-batch-units-001
930076,U-0076,920009,Lusso d'Arte,2 PN,B2.10.13,available,1,2025-05-30T11:00:00+07:00,2025-05-31T00:00:00+00:00,2025-05-31T00:00:00+00:00,1,seed-batch-units-001
930077,U-0077,920009,Lusso d'Arte,2 PN,B2.11.05,sold,1,2025-05-30T11:00:00+07:00,2025-05-31T00:00:00+00:00,2025-05-31T00:00:00+00:00,1,seed-batch-units-001
930078,U-0078,920009,Lusso d'Arte,2 PN,B2.11.07,sold,1,2025-05-30T11:00:00+07:00,2025-05-31T00:00:00+00:00,2025-05-31T00:00:00+00:00,1,seed-batch-units-001
930079,U-0079,920008,Lusso d'Arte,1 PN+,B2.12.11,sold,1,2025-05-30T11:00:00+07:00,2025-05-31T00:00:00+00:00,2025-05-31T00:00:00+00:00,1,seed-batch-units-001
930080,U-0080,920009,Lusso d'Arte,2 PN,B2.13.03,available,1,2025-05-30T11:00:00+07:00,2025-05-31T00:00:00+00:00,2025-05-31T00:00:00+00:00,1,seed-batch-units-001
930081,U-0081,920009,Lusso d'Arte,2 PN,B2.13.04,sold,1,2025-05-30T11:00:00+07:00,2025-05-31T00:00:00+00:00,2025-05-31T00:00:00+00:00,1,seed-batch-units-001
930082,U-0082,920009,Lusso d'Arte,2 PN,B2.13.09,available,1,2025-05-30T11:00:00+07:00,2025-05-31T00:00:00+00:00,2025-05-31T00:00:00+00:00,1,seed-batch-units-001
930083,U-0083,920009,Lusso d'Arte,2 PN,B2.13.12,available,1,2025-05-30T11:00:00+07:00,2025-05-31T00:00:00+00:00,2025-05-31T00:00:00+00:00,1,seed-batch-units-001
930084,U-0084,920009,Lusso d'Arte,2 PN,B2.16.13,reserved,1,2025-05-30T11:00:00+07:00,2025-05-31T00:00:00+00:00,2025-05-31T00:00:00+00:00,1,seed-batch-units-001
930085,U-0085,920009,Lusso d'Arte,2 PN,B2.17.03,sold,1,2025-05-30T11:00:00+07:00,2025-05-31T00:00:00+00:00,2025-05-31T00:00:00+00:00,1,seed-batch-units-001
930086,U-0086,920009,Lusso d'Arte,2 PN,B2.17.04,available,1,2025-05-30T11:00:00+07:00,2025-05-31T00:00:00+00:00,2025-05-31T00:00:00+00:00,1,seed-batch-units-001
930087,U-0087,920010,Lusso d'Arte,4 PN,B2.17.06,available,1,2025-05-30T11:00:00+07:00,2025-05-31T00:00:00+00:00,2025-05-31T00:00:00+00:00,1,seed-batch-units-001
930088,U-0088,920008,Lusso d'Arte,1 PN+,B2.17.11,available,1,2025-05-30T11:00:00+07:00,2025-05-31T00:00:00+00:00,2025-05-31T00:00:00+00:00,1,seed-batch-units-001
930089,U-0089,920011,Lusso d'Arte,Căn hộ Loft,B2.19.05,available,1,2025-05-30T11:00:00+07:00,2025-05-31T00:00:00+00:00,2025-05-31T00:00:00+00:00,1,seed-batch-units-001
930090,U-0090,920011,Lusso d'Arte,Căn hộ Loft,B2.19.08,reserved,1,2025-05-30T11:00:00+07:00,2025-05-31T00:00:00+00:00,2025-05-31T00:00:00+00:00,1,seed-batch-units-001
930091,U-0091,920011,Lusso d'Arte,Căn hộ Loft,B2.19.09,available,1,2025-05-30T11:00:00+07:00,2025-05-31T00:00:00+00:00,2025-05-31T00:00:00+00:00,1,seed-batch-units-001
930092,U-0092,920011,Lusso d'Arte,Căn hộ Loft,B2.19.10,available,1,2025-05-30T11:00:00+07:00,2025-05-31T00:00:00+00:00,2025-05-31T00:00:00+00:00,1,seed-batch-units-001
930093,U-0093,920011,Lusso d'Arte,Căn hộ Loft,B2.19.13,available,1,2025-05-30T11:00:00+07:00,2025-05-31T00:00:00+00:00,2025-05-31T00:00:00+00:00,1,seed-batch-units-001
930094,U-0094,920010,Lusso d'Arte,4 PN,B2.22.06,available,1,2025-05-30T11:00:00+07:00,2025-05-31T00:00:00+00:00,2025-05-31T00:00:00+00:00,1,seed-batch-units-001
930095,U-0095,920009,Lusso d'Arte,2 PN,B2.23.05,sold,1,2025-05-30T11:00:00+07:00,2025-05-31T00:00:00+00:00,2025-05-31T00:00:00+00:00,1,seed-batch-units-001
930096,U-0096,920009,Lusso d'Arte,2 PN,B2.23.12,sold,1,2025-05-30T11:00:00+07:00,2025-05-31T00:00:00+00:00,2025-05-31T00:00:00+00:00,1,seed-batch-units-001
930097,U-0097,920009,Lusso d'Arte,2 PN,B2.25.09,reserved,1,2025-05-30T11:00:00+07:00,2025-05-31T00:00:00+00:00,2025-05-31T00:00:00+00:00,1,seed-batch-units-001
930098,U-0098,920009,Lusso d'Arte,2 PN,B2.25.13,sold,1,2025-05-30T11:00:00+07:00,2025-05-31T00:00:00+00:00,2025-05-31T00:00:00+00:00,1,seed-batch-units-001
930099,U-0099,920009,Lusso d'Arte,2 PN,B2.26.03,available,1,2025-05-30T11:00:00+07:00,2025-05-31T00:00:00+00:00,2025-05-31T00:00:00+00:00,1,seed-batch-units-001
930100,U-0100,920009,Lusso d'Arte,2 PN,B2.26.04,available,1,2025-05-30T11:00:00+07:00,2025-05-31T00:00:00+00:00,2025-05-31T00:00:00+00:00,1,seed-batch-units-001
930101,U-0101,920009,Lusso d'Arte,2 PN,B2.28.03,sold,1,2025-05-30T11:00:00+07:00,2025-05-31T00:00:00+00:00,2025-05-31T00:00:00+00:00,1,seed-batch-units-001
930102,U-0102,920009,Lusso d'Arte,2 PN,B2.28.05,available,1,2025-05-30T11:00:00+07:00,2025-05-31T00:00:00+00:00,2025-05-31T00:00:00+00:00,1,seed-batch-units-001
930103,U-0103,920010,Lusso d'Arte,4 PN,B2.29.06,available,1,2025-05-30T11:00:00+07:00,2025-05-31T00:00:00+00:00,2025-05-31T00:00:00+00:00,1,seed-batch-units-001
930104,U-0104,920009,Lusso d'Arte,2 PN,B2.29.13,available,1,2025-05-30T11:00:00+07:00,2025-05-31T00:00:00+00:00,2025-05-31T00:00:00+00:00,1,seed-batch-units-001
930105,U-0105,920009,Lusso d'Arte,2 PN,B2.31.03,available,1,2025-05-30T11:00:00+07:00,2025-05-31T00:00:00+00:00,2025-05-31T00:00:00+00:00,1,seed-batch-units-001
930106,U-0106,920009,Lusso d'Arte,2 PN,B2.31.04,sold,1,2025-05-30T11:00:00+07:00,2025-05-31T00:00:00+00:00,2025-05-31T00:00:00+00:00,1,seed-batch-units-001
930107,U-0107,920009,Lusso d'Arte,2 PN,B2.31.09,reserved,1,2025-05-30T11:00:00+07:00,2025-05-31T00:00:00+00:00,2025-05-31T00:00:00+00:00,1,seed-batch-units-001
930108,U-0108,920008,Lusso d'Arte,1 PN+,B2.31.11,available,1,2025-05-30T11:00:00+07:00,2025-05-31T00:00:00+00:00,2025-05-31T00:00:00+00:00,1,seed-batch-units-001
930109,U-0109,920009,Lusso d'Arte,2 PN,B2.32.04,sold,1,2025-05-30T11:00:00+07:00,2025-05-31T00:00:00+00:00,2025-05-31T00:00:00+00:00,1,seed-batch-units-001
930110,U-0110,920009,Lusso d'Arte,2 PN,B2.32.05,available,1,2025-05-30T11:00:00+07:00,2025-05-31T00:00:00+00:00,2025-05-31T00:00:00+00:00,1,seed-batch-units-001
930111,U-0111,920009,Lusso d'Arte,2 PN,B2.32.09,available,1,2025-05-30T11:00:00+07:00,2025-05-31T00:00:00+00:00,2025-05-31T00:00:00+00:00,1,seed-batch-units-001
930112,U-0112,920009,Lusso d'Arte,2 PN,B2.33.03,reserved,1,2025-05-30T11:00:00+07:00,2025-05-31T00:00:00+00:00,2025-05-31T00:00:00+00:00,1,seed-batch-units-001
930113,U-0113,920009,Lusso d'Arte,2 PN,B2.33.05,sold,1,2025-05-30T11:00:00+07:00,2025-05-31T00:00:00+00:00,2025-05-31T00:00:00+00:00,1,seed-batch-units-001
930114,U-0114,920010,Lusso d'Arte,4 PN,B2.33.06,available,1,2025-05-30T11:00:00+07:00,2025-05-31T00:00:00+00:00,2025-05-31T00:00:00+00:00,1,seed-batch-units-001
930115,U-0115,920009,Lusso d'Arte,2 PN,B2.35.13,reserved,1,2025-05-30T11:00:00+07:00,2025-05-31T00:00:00+00:00,2025-05-31T00:00:00+00:00,1,seed-batch-units-001
930116,U-0116,920009,Lusso d'Arte,2 PN,B2.36.12,sold,1,2025-05-30T11:00:00+07:00,2025-05-31T00:00:00+00:00,2025-05-31T00:00:00+00:00,1,seed-batch-units-001
930117,U-0117,920009,Lusso d'Arte,2 PN,B2.37.03,sold,1,2025-05-30T11:00:00+07:00,2025-05-31T00:00:00+00:00,2025-05-31T00:00:00+00:00,1,seed-batch-units-001
930118,U-0118,920009,Lusso d'Arte,2 PN,B2.37.04,sold,1,2025-05-30T11:00:00+07:00,2025-05-31T00:00:00+00:00,2025-05-31T00:00:00+00:00,1,seed-batch-units-001
