project_external_id,area_external_id,unit_external_id,source_system,source_instance_id,unit_code,subdivision,subdivision_raw,tower,floor,unit_number,unit_type_raw,gross_area_sqm,net_area_sqm,standard_price_vnd,loan_price_vnd,agency_name,unit_type_normalized,bedrooms,bathrooms,price_per_sqm_gross_vnd,price_per_sqm_net_vnd,area_efficiency_ratio,loan_premium_pct,floor_band,direction,balcony_direction,view,corner_unit_proxy,unit_status,lead_count,qualified_lead_count,booking_count,reservation_count,first_lead_at,first_booking_at,reserved_at,sold_at,days_to_first_lead,days_to_reserve,days_to_sell,source_revision,mirrored_revision,mirrored_at,data_profile,agency_name_origin,has_lead,has_booking,has_reservation,is_sold,stacking_price_million_vnd,project_name,project_status,project_launch_date,area_name,area_unit_type,area_bedrooms,area_sqm,area_total_units,area_status,last_sync_batch_id,deal_external_id,deal_status,deal_source_revision,deal_created_at,deal_updated_at,lost_at,deal_lifecycle_stage,physical_features_origin,crm_signals_origin
P-0001,A-0002,U-0001,mini_crm,mini-crm-dev,A1.06.05,Lusso Saigon,LUSSO,A1,6,5,2 PN,62.32,56.18,3057395419,3357020170,VNL,2PN,2,2,53867461,59754720,0.9015,9.8,low,Đông,Nam,Hồ bơi,False,sold,3,1,1,1,2025-07-17,2025-07-26,2025-08-03,2025-09-05,46,63,96,1,1,2025-05-31T00:00:00+00:00,demo,synthetic,1,1,1,1,3057,La Pura,active,2025-06-08,Lusso Saigon,2 PN,2,56.56,25,active,seed-batch-units-001,D-0001,sold,1,2025-07-26T09:00:00+07:00,2025-09-05T17:00:00+07:00,1970-01-01T00:00:00+00:00,sold,synthetic_v1_tower_stack_floor_band,synthetic_v1_causal_funnel
P-0001,A-0003,U-0002,mini_crm,mini-crm-dev,A1.06.15,Lusso Saigon,LUSSO,A1,6,15,3 PN,82.85,73.64,4894562022,5374229100,VNL,3PN,3,2,64866978,72979754,0.8888,9.8,low,Nam,Tây,Nội khu,True,available,1,0,0,0,2025-07-11,NO_BOOKING,NO_RESERVATION,NOT_SOLD,40,-1,-1,1,1,2025-05-31T00:00:00+00:00,demo,synthetic,1,0,0,0,4895,La Pura,active,2025-06-08,Lusso Saigon,3 PN,3,74.82,19,active,seed-batch-units-001,0,no_deal,0,1970-01-01T00:00:00+00:00,1970-01-01T00:00:00+00:00,1970-01-01T00:00:00+00:00,lead,synthetic_v1_tower_stack_floor_band,synthetic_v1_causal_funnel
P-0001,A-0002,U-0003,mini_crm,mini-crm-dev,A1.07.03,Lusso Saigon,LUSSO,A1,7,3,2 PN,62.86,56.09,2996732576,3290412368,VNL,2PN,2,2,52345090,58663084,0.8923,9.8,low,Đông Nam,Tây Nam,Cảnh quan nội khu,False,available,0,0,0,0,NO_LEAD,NO_BOOKING,NO_RESERVATION,NOT_SOLD,-1,-1,-1,1,1,2025-05-31T00:00:00+00:00,demo,synthetic,0,0,0,0,2997,La Pura,active,2025-06-08,Lusso Saigon,2 PN,2,56.56,25,active,seed-batch-units-001,0,no_deal,0,1970-01-01T00:00:00+00:00,1970-01-01T00:00:00+00:00,1970-01-01T00:00:00+00:00,no_lead,synthetic_v1_tower_stack_floor_band,synthetic_v1_causal_funnel
P-0001,A-0002,U-0004,mini_crm,mini-crm-dev,A1.07.14,Lusso Saigon,LUSSO,A1,7,14,2 PN,62.86,56.09,2893179773,3176711391,VNL,2PN,2,2,50536293,56635967,0.8923,9.8,low,Bắc,Đông,Cảnh quan nội khu,False,available,1,0,0,0,2025-07-14,NO_BOOKING,NO_RESERVATION,NOT_SOLD,43,-1,-1,1,1,2025-05-31T00:00:00+00:00,demo,synthetic,1,0,0,0,2893,La Pura,active,2025-06-08,Lusso Saigon,2 PN,2,56.56,25,active,seed-batch-units-001,0,no_deal,0,1970-01-01T00:00:00+00:00,1970-01-01T00:00:00+00:00,1970-01-01T00:00:00+00:00,lead,synthetic_v1_tower_stack_floor_band,synthetic_v1_causal_funnel
P-0001,A-0002,U-0005,mini_crm,mini-crm-dev,A1.09.03,Lusso Saigon,LUSSO,A1,9,3,2 PN,62.86,56.09,2978973270,3270912651,Cas,2PN,2,2,52034881,58315433,0.8923,9.8,low,Đông Nam,Tây Nam,Cảnh quan nội khu,False,reserved,3,3,1,1,2025-07-22,2025-08-05,2025-08-18,NOT_SOLD,51,78,-1,1,1,2025-05-31T00:00:00+00:00,demo,observed,1,1,1,0,2979,La Pura,active,2025-06-08,Lusso Saigon,2 PN,2,56.56,25,active,seed-batch-units-001,D-0002,reserved,1,2025-08-05T09:00:00+07:00,2025-08-18T17:00:00+07:00,1970-01-01T00:00:00+00:00,reserved,synthetic_v1_tower_stack_floor_band,synthetic_v1_causal_funnel
P-0001,A-0002,U-0006,mini_crm,mini-crm-dev,A1.11.05,Lusso Saigon,LUSSO,A1,11,5,2 PN,62.19,56.37,3007239668,3301949156,VNL,2PN,2,2,53094535,58576355,0.9064,9.8,low,Đông,Nam,Hồ bơi,False,sold,6,4,1,1,2025-07-20,2025-08-01,2025-08-12,2025-08-28,49,72,88,1,1,2025-05-31T00:00:00+00:00,demo,synthetic,1,1,1,1,3007,La Pura,active,2025-06-08,Lusso Saigon,2 PN,2,56.56,25,active,seed-batch-units-001,D-0003,sold,1,2025-08-01T09:00:00+07:00,2025-08-28T17:00:00+07:00,1970-01-01T00:00:00+00:00,sold,synthetic_v1_tower_stack_floor_band,synthetic_v1_causal_funnel
P-0001,A-0003,U-0007,mini_crm,mini-crm-dev,A1.13.02,Lusso Saigon,LUSSO,A1,13,2,3 PN,76.31,67.51,4611556229,5063488739,VNL,3PN,3,2,66354197,75003536,0.8847,9.8,mid,Nam,Tây,Thành phố,True,sold,2,2,1,1,2025-07-05,2025-07-13,2025-07-15,2025-07-27,34,44,56,1,1,2025-05-31T00:00:00+00:00,demo,synthetic,1,1,1,1,4612,La Pura,active,2025-06-08,Lusso Saigon,3 PN,3,74.82,19,active,seed-batch-units-001,D-0004,sold,1,2025-07-13T09:00:00+07:00,2025-07-27T17:00:00+07:00,1970-01-01T00:00:00+00:00,sold,synthetic_v1_tower_stack_floor_band,synthetic_v1_causal_funnel
P-0001,A-0002,U-0008,mini_crm,mini-crm-dev,A1.13.05,Lusso Saigon,LUSSO,A1,13,5,2 PN,62.19,56.37,2989669652,3282657278,VNL,2PN,2,2,52784327,58234119,0.9064,9.8,mid,Đông,Nam,Toàn cảnh,False,available,3,2,0,0,2025-07-17,NO_BOOKING,NO_RESERVATION,NOT_SOLD,46,-1,-1,1,1,2025-05-31T00:00:00+00:00,demo,synthetic,1,0,0,0,2990,La Pura,active,2025-06-08,Lusso Saigon,2 PN,2,56.56,25,active,seed-batch-units-001,0,no_deal,0,1970-01-01T00:00:00+00:00,1970-01-01T00:00:00+00:00,1970-01-01T00:00:00+00:00,lead,synthetic_v1_tower_stack_floor_band,synthetic_v1_causal_funnel
P-0001,A-0002,U-0009,mini_crm,mini-crm-dev,A1.13.06,Lusso Saigon,LUSSO,A1,13,6,2 PN,62.05,56.5,2983098092,3275441705,VNL,2PN,2,2,52787135,57972420,0.9106,9.8,mid,Tây,Bắc,Sông,False,available,3,2,0,0,2025-07-14,NO_BOOKING,NO_RESERVATION,NOT_SOLD,43,-1,-1,1,1,2025-05-31T00:00:00+00:00,demo,synthetic,1,0,0,0,2983,La Pura,active,2025-06-08,Lusso Saigon,2 PN,2,56.56,25,active,seed-batch-units-001,0,no_deal,0,1970-01-01T00:00:00+00:00,1970-01-01T00:00:00+00:00,1970-01-01T00:00:00+00:00,lead,synthetic_v1_tower_stack_floor_band,synthetic_v1_causal_funnel
P-0001,A-0002,U-0010,mini_crm,mini-crm-dev,A1.13.13,Lusso Saigon,LUSSO,A1,13,13,2 PN,63.15,55.79,2878685974,3160797200,VNL,2PN,2,2,50052212,56655264,0.8835,9.8,mid,Tây,Bắc,Cảnh quan nội khu,False,sold,6,2,1,1,2025-07-15,2025-07-27,2025-08-02,2025-08-18,44,62,78,1,1,2025-05-31T00:00:00+00:00,demo,synthetic,1,1,1,1,2879,La Pura,active,2025-06-08,Lusso Saigon,2 PN,2,56.56,25,active,seed-batch-units-001,D-0005,sold,1,2025-07-27T09:00:00+07:00,2025-08-18T17:00:00+07:00,1970-01-01T00:00:00+00:00,sold,synthetic_v1_tower_stack_floor_band,synthetic_v1_causal_funnel
