unit_id,unit_external_id,subdivision,subdivision_raw,tower,floor,unit_number,unit_code,unit_type_raw,unit_type_normalized,bedrooms,bathrooms,gross_area_sqm,net_area_sqm,standard_price_vnd,loan_price_vnd,stacking_price_million_vnd,agency_name,price_per_sqm_gross_vnd,price_per_sqm_net_vnd,area_efficiency_ratio,loan_premium_pct,floor_band,direction,balcony_direction,view,corner_unit_proxy,physical_features_origin,agency_name_origin,data_profile
930001,U-0001,Lusso Saigon,LUSSO,A1,6,5,A1.06.05,2 PN,2PN,2,2,62.32,56.18,3057395419,3357020170,3057,VNL,53867461,59754720,0.9015,9.8,low,Đông,Nam,Hồ bơi,False,synthetic_v1_tower_stack_floor_band,synthetic,demo
930002,U-0002,Lusso Saigon,LUSSO,A1,6,15,A1.06.15,3 PN,3PN,3,2,82.85,73.64,4894562022,5374229100,4895,VNL,64866978,72979754,0.8888,9.8,low,Nam,Tây,Nội khu,True,synthetic_v1_tower_stack_floor_band,synthetic,demo
930003,U-0003,Lusso Saigon,LUSSO,A1,7,3,A1.07.03,2 PN,2PN,2,2,62.86,56.09,2996732576,3290412368,2997,VNL,52345090,58663084,0.8923,9.8,low,Đông Nam,Tây Nam,Cảnh quan nội khu,False,synthetic_v1_tower_stack_floor_band,synthetic,demo
930004,U-0004,Lusso Saigon,LUSSO,A1,7,14,A1.07.14,2 PN,2PN,2,2,62.86,56.09,2893179773,3176711391,2893,VNL,50536293,56635967,0.8923,9.8,low,Bắc,Đông,Cảnh quan nội khu,False,synthetic_v1_tower_stack_floor_band,synthetic,demo
930005,U-0005,Lusso Saigon,LUSSO,A1,9,3,A1.09.03,2 PN,2PN,2,2,62.86,56.09,2978973270,3270912651,2979,Cas,52034881,58315433,0.8923,9.8,low,Đông Nam,Tây Nam,Cảnh quan nội khu,False,synthetic_v1_tower_stack_floor_band,observed,demo
930006,U-0006,Lusso Saigon,LUSSO,A1,11,5,A1.11.05,2 PN,2PN,2,2,62.19,56.37,3007239668,3301949156,3007,VNL,53094535,58576355,0.9064,9.8,low,Đông,Nam,Hồ bơi,False,synthetic_v1_tower_stack_floor_band,synthetic,demo
930007,U-0007,Lusso Saigon,LUSSO,A1,13,2,A1.13.02,3 PN,3PN,3,2,76.31,67.51,4611556229,5063488739,4612,VNL,66354197,75003536,0.8847,9.8,mid,Nam,Tây,Thành phố,True,synthetic_v1_tower_stack_floor_band,synthetic,demo
930008,U-0008,Lusso Saigon,LUSSO,A1,13,5,A1.13.05,2 PN,2PN,2,2,62.19,56.37,2989669652,3282657278,2990,VNL,52784327,58234119,0.9064,9.8,mid,Đông,Nam,Toàn cảnh,False,synthetic_v1_tower_stack_floor_band,synthetic,demo
930009,U-0009,Lusso Saigon,LUSSO,A1,13,6,A1.13.06,2 PN,2PN,2,2,62.05,56.5,2983098092,3275441705,2983,VNL,52787135,57972420,0.9106,9.8,mid,Tây,Bắc,Sông,False,synthetic_v1_tower_stack_floor_band,synthetic,demo
930010,U-0010,Lusso Saigon,LUSSO,A1,13,13,A1.13.13,2 PN,2PN,2,2,63.15,55.79,2878685974,3160797200,2879,VNL,50052212,56655264,0.8835,9.8,mid,Tây,Bắc,Cảnh quan nội khu,False,synthetic_v1_tower_stack_floor_band,synthetic,demo
930011,U-0011,Lusso Saigon,LUSSO,A1,13,15,A1.13.15,3 PN,3PN,3,2,82.93,74.31,4989688737,5478678233,4990,VNL,66063888,73727335,0.8961,9.8,mid,Nam,Tây,Nội khu,True,synthetic_v1_tower_stack_floor_band,synthetic,demo
930012,U-0012,Lusso Saigon,LUSSO,A1,17,2,A1.17.02,3 PN,3PN,3,2,76.31,67.51,4659218373,5115821774,4659,VNL,67039992,75778726,0.8847,9.8,mid,Nam,Tây,Thành phố,True,synthetic_v1_tower_stack_floor_band,synthetic,demo
930013,U-0013,Lusso Saigon,LUSSO,A1,19,5,A1.19.05,Căn hộ Loft,Loft,2,2,62.19,56.37,3535793361,3882301110,3536,VNL,62426453,68871760,0.9064,9.8,mid,Đông,Nam,Toàn cảnh,False,synthetic_v1_tower_stack_floor_band,synthetic,demo
930014,U-0014,Lusso Saigon,LUSSO,A1,19,10,A1.19.10,Căn hộ Loft,Loft,2,2,67.79,60.15,4166553799,4574876072,4167,VNL,67486002,76057790,0.8873,9.8,mid,Đông,Nam,Thành phố,False,synthetic_v1_tower_stack_floor_band,synthetic,demo
930015,U-0015,Lusso Saigon,LUSSO,A1,22,5,A1.22.05,2 PN,2PN,2,2,61.98,56.56,2901014223,3185313616,2901,Cas,51392604,56317426,0.9126,9.8,mid,Đông,Nam,Toàn cảnh,False,synthetic_v1_tower_stack_floor_band,observed,demo
