project_external_id,area_external_id,unit_external_id,source_system,source_instance_id,unit_code,subdivision,subdivision_raw,tower,floor,unit_number,unit_type_raw,gross_area_sqm,net_area_sqm,standard_price_vnd,loan_price_vnd,agency_name,unit_type_normalized,bedrooms,bathrooms,price_per_sqm_gross_vnd,price_per_sqm_net_vnd,area_efficiency_ratio,loan_premium_pct,floor_band,direction,balcony_direction,view,corner_unit_proxy,source_revision,mirrored_revision,mirrored_at,data_profile,agency_name_origin,stacking_price_million_vnd,project_name,project_status,project_launch_date,area_name,area_unit_type,area_bedrooms,area_sqm,area_total_units,area_status,last_sync_batch_id,deal_source_revision,deal_created_at,deal_updated_at,physical_features_origin,crm_signals_origin,price_per_sqm_gross_vnd_source,price_per_sqm_net_vnd_source,area_efficiency_ratio_source,loan_premium_pct_source
P-0001,A-0002,U-0001,mini_crm,mini-crm-dev,A1.06.05,Lusso Saigon,LUSSO,A1,6,5,2 PN,62.32,56.18,3057395419,3357020170,VNL,2PN,2,2,49059618.405006416,54421420.77251691,0.9014762516046213,9.799999997972131,low,Đông,Nam,Hồ bơi,False,1,1,2025-05-31 00:00:00+00:00,demo,synthetic,3057,La Pura,active,2025-06-08 00:00:00+00:00,Lusso Saigon,2 PN,2,56.56,25,active,seed-batch-units-001,1,2025-07-26 02:00:00+00:00,2025-09-05 10:00:00+00:00,synthetic_v1_tower_stack_floor_band,synthetic_v1_causal_funnel,53867461,59754720,0.9015,9.8
P-0001,A-0003,U-0002,mini_crm,mini-crm-dev,A1.06.15,Lusso Saigon,LUSSO,A1,6,15,3 PN,82.85,73.64,4894562022,5374229100,VNL,3PN,3,2,59077393.14423658,66466078.517110266,0.8888352444176223,9.799999996812788,low,Nam,Tây,Nội khu,True,1,1,2025-05-31 00:00:00+00:00,demo,synthetic,4895,La Pura,active,2025-06-08 00:00:00+00:00,Lusso Saigon,3 PN,3,74.82,19,active,seed-batch-units-001,0,1970-01-01 00:00:00+00:00,1970-01-01 00:00:00+00:00,synthetic_v1_tower_stack_floor_band,synthetic_v1_causal_funnel,64866978,72979754,0.8888,9.8
P-0001,A-0002,U-0003,mini_crm,mini-crm-dev,A1.07.03,Lusso Saigon,LUSSO,A1,7,3,2 PN,62.86,56.09,2996732576,3290412368,VNL,2PN,2,2,47673124.02163538,53427216.54483865,0.8923003499840917,9.799999985050384,low,Đông Nam,Tây Nam,Cảnh quan nội khu,False,1,1,2025-05-31 00:00:00+00:00,demo,synthetic,2997,La Pura,active,2025-06-08 00:00:00+00:00,Lusso Saigon,2 PN,2,56.56,25,active,seed-batch-units-001,0,1970-01-01 00:00:00+00:00,1970-01-01 00:00:00+00:00,synthetic_v1_tower_stack_floor_band,synthetic_v1_causal_funnel,52345090,58663084,0.8923,9.8
P-0001,A-0002,U-0004,mini_crm,mini-crm-dev,A1.07.14,Lusso Saigon,LUSSO,A1,7,14,2 PN,62.86,56.09,2893179773,3176711391,VNL,2PN,2,2,46025767.94463888,51581026.43965056,0.8923003499840917,9.800000008502757,low,Bắc,Đông,Cảnh quan nội khu,False,1,1,2025-05-31 00:00:00+00:00,demo,synthetic,2893,La Pura,active,2025-06-08 00:00:00+00:00,Lusso Saigon,2 PN,2,56.56,25,active,seed-batch-units-001,0,1970-01-01 00:00:00+00:00,1970-01-01 00:00:00+00:00,synthetic_v1_tower_stack_floor_band,synthetic_v1_causal_funnel,50536293,56635967,0.8923,9.8
P-0001,A-0002,U-0005,mini_crm,mini-crm-dev,A1.09.03,Lusso Saigon,LUSSO,A1,9,3,2 PN,62.86,56.09,2978973270,3270912651,Cas,2PN,2,2,47390602.44988864,53110594.93670886,0.8923003499840917,9.80000001812705,low,Đông Nam,Tây Nam,Cảnh quan nội khu,False,1,1,2025-05-31 00:00:00+00:00,demo,observed,2979,La Pura,active,2025-06-08 00:00:00+00:00,Lusso Saigon,2 PN,2,56.56,25,active,seed-batch-units-001,1,2025-08-05 02:00:00+00:00,2025-08-18 10:00:00+00:00,synthetic_v1_tower_stack_floor_band,synthetic_v1_causal_funnel,52034881,58315433,0.8923,9.8
P-0001,A-0002,U-0006,mini_crm,mini-crm-dev,A1.11.05,Lusso Saigon,LUSSO,A1,11,5,2 PN,62.19,56.37,3007239668,3301949156,VNL,2PN,2,2,48355678.855121404,53348228.987049855,0.9064158224794983,9.800000017823654,low,Đông,Nam,Hồ bơi,False,1,1,2025-05-31 00:00:00+00:00,demo,synthetic,3007,La Pura,active,2025-06-08 00:00:00+00:00,Lusso Saigon,2 PN,2,56.56,25,active,seed-batch-units-001,1,2025-08-01 02:00:00+00:00,2025-08-28 10:00:00+00:00,synthetic_v1_tower_stack_floor_band,synthetic_v1_causal_funnel,53094535,58576355,0.9064,9.8
P-0001,A-0003,U-0007,mini_crm,mini-crm-dev,A1.13.02,Lusso Saigon,LUSSO,A1,13,2,3 PN,76.31,67.51,4611556229,5063488739,VNL,3PN,3,2,60431873.004848644,68309231.65456969,0.8846809068274145,9.799999990415383,mid,Nam,Tây,Thành phố,True,1,1,2025-05-31 00:00:00+00:00,demo,synthetic,4612,La Pura,active,2025-06-08 00:00:00+00:00,Lusso Saigon,3 PN,3,74.82,19,active,seed-batch-units-001,1,2025-07-13 02:00:00+00:00,2025-07-27 10:00:00+00:00,synthetic_v1_tower_stack_floor_band,synthetic_v1_causal_funnel,66354197,75003536,0.8847,9.8
P-0001,A-0002,U-0008,mini_crm,mini-crm-dev,A1.13.05,Lusso Saigon,LUSSO,A1,13,5,2 PN,62.19,56.37,2989669652,3282657278,VNL,2PN,2,2,48073157.29216916,53036538.08763527,0.9064158224794983,9.800000003478646,mid,Đông,Nam,Toàn cảnh,False,1,1,2025-05-31 00:00:00+00:00,demo,synthetic,2990,La Pura,active,2025-06-08 00:00:00+00:00,Lusso Saigon,2 PN,2,56.56,25,active,seed-batch-units-001,0,1970-01-01 00:00:00+00:00,1970-01-01 00:00:00+00:00,synthetic_v1_tower_stack_floor_band,synthetic_v1_causal_funnel,52784327,58234119,0.9064,9.8
P-0001,A-0002,U-0009,mini_crm,mini-crm-dev,A1.13.06,Lusso Saigon,LUSSO,A1,13,6,2 PN,62.05,56.5,2983098092,3275441705,VNL,2PN,2,2,48075714.61724416,52798196.31858407,0.9105560032232072,9.799999999463644,mid,Tây,Bắc,Sông,False,1,1,2025-05-31 00:00:00+00:00,demo,synthetic,2983,La Pura,active,2025-06-08 00:00:00+00:00,Lusso Saigon,2 PN,2,56.56,25,active,seed-batch-units-001,0,1970-01-01 00:00:00+00:00,1970-01-01 00:00:00+00:00,synthetic_v1_tower_stack_floor_band,synthetic_v1_causal_funnel,52787135,57972420,0.9106,9.8
P-0001,A-0002,U-0010,mini_crm,mini-crm-dev,A1.13.13,Lusso Saigon,LUSSO,A1,13,13,2 PN,63.15,55.79,2878685974,3160797200,VNL,2PN,2,2,45584892.699920826,51598601.43394874,0.883452098178939,9.800000019036464,mid,Tây,Bắc,Cảnh quan nội khu,False,1,1,2025-05-31 00:00:00+00:00,demo,synthetic,2879,La Pura,active,2025-06-08 00:00:00+00:00,Lusso Saigon,2 PN,2,56.56,25,active,seed-batch-units-001,1,2025-07-27 02:00:00+00:00,2025-08-18 10:00:00+00:00,synthetic_v1_tower_stack_floor_band,synthetic_v1_causal_funnel,50052212,56655264,0.8835,9.8
P-0001,A-0003,U-0011,mini_crm,mini-crm-dev,A1.13.15,Lusso Saigon,LUSSO,A1,13,15,3 PN,82.93,74.31,4989688737,5478678233,VNL,3PN,3,2,60167475.42505727,67146934.96164715,0.896056915470879,9.79999999547066,mid,Nam,Tây,Nội khu,True,1,1,2025-05-31 00:00:00+00:00,demo,synthetic,4990,La Pura,active,2025-06-08 00:00:00+00:00,Lusso Saigon,3 PN,3,74.82,19,active,seed-batch-units-001,1,2025-07-24 02:00:00+00:00,2025-09-08 10:00:00+00:00,synthetic_v1_tower_stack_floor_band,synthetic_v1_causal_funnel,66063888,73727335,0.8961,9.8
P-0001,A-0003,U-0012,mini_crm,mini-crm-dev,A1.17.02,Lusso Saigon,LUSSO,A1,17,2,3 PN,76.31,67.51,4659218373,5115821774,VNL,3PN,3,2,61056458.825841956,69015232.8988298,0.8846809068274145,9.800000009572422,mid,Nam,Tây,Thành phố,True,1,1,2025-05-31 00:00:00+00:00,demo,synthetic,4659,La Pura,active,2025-06-08 00:00:00+00:00,Lusso Saigon,3 PN,3,74.82,19,active,seed-batch-units-001,1,2025-08-04 02:00:00+00:00,2025-09-29 10:00:00+00:00,synthetic_v1_tower_stack_floor_band,synthetic_v1_causal_funnel,67039992,75778726,0.8847,9.8
P-0001,A-0005,U-0013,mini_crm,mini-crm-dev,A1.19.05,Lusso Saigon,LUSSO,A1,19,5,Căn hộ Loft,62.19,56.37,3535793361,3882301110,VNL,Loft,2,2,56854693.05354559,62724735.8701437,0.9064158224794983,9.79999998930933,mid,Đông,Nam,Toàn cảnh,False,1,1,2025-05-31 00:00:00+00:00,demo,synthetic,3536,La Pura,active,2025-06-08 00:00:00+00:00,Lusso Saigon,Căn hộ Loft,2,60.1,4,active,seed-batch-units-001,0,1970-01-01 00:00:00+00:00,1970-01-01 00:00:00+00:00,synthetic_v1_tower_stack_floor_band,synthetic_v1_causal_funnel,62426453,68871760,0.9064,9.8
