feature,count,min,p25,median,p75,max,mean,std
floor,392,4.0,9.75,19.0,33.0,39.0,21.09438775510204,11.977334482771075
unit_number,392,1.0,4.0,9.0,14.0,23.0,9.275510204081632,5.994081671473504
gross_area_sqm,392,43.09,56.92,66.45,76.91,187.69,69.61073979591836,18.891802853415694
net_area_sqm,392,38.19,52.349999999999994,60.15,69.16,172.5,62.736224489795916,17.296117803712782
standard_price_vnd,392,2333798473.0,3085630860.0,3531015352.0,4140983403.0,14556684950.0,3914235271.5102043,1422455152.0822592
loan_price_vnd,392,2501410624.0,3314284717.75,3711547424.5,4328587699.75,15153509033.0,4103774933.910714,1495030966.509334
price_per_sqm_gross_vnd,392,41907680.459587954,51425206.896108195,54434725.60645416,60355301.95588954,77557061.91059726,55669463.21362136,6137184.266784764
price_per_sqm_net_vnd,392,46464009.807355516,56813693.16009469,60436857.036059156,67526062.37827048,84386579.42028986,61809930.15378504,6951080.955060598
area_efficiency_ratio,392,0.8716790168082414,0.8941318814277072,0.9016327353356177,0.9083678014635699,0.9272300469483569,0.9009205681958482,0.010153565062273032
loan_premium_pct,392,1.6999999703930007,1.7000000017316423,4.09999999681669,9.79999998589758,9.800000027680197,4.877551019771497,3.419472763632209
bedrooms,392,1.0,2.0,2.0,2.0,4.0,1.9923469387755102,0.645616818443099
bathrooms,392,1.0,2.0,2.0,2.0,4.0,1.8290816326530612,0.4395663678951563
