unit_type_normalized,units,price_per_sqm_net_min,price_per_sqm_net_median,price_per_sqm_net_max,price_per_sqm_gross_median,gross_area_median,standard_price_median,area_efficiency_median,loan_premium_pct_median,sold,reserved,available,sold_pct
1PN,31,58547904.47512497,63969846.49200711,67575222.85072953,58173486.212457165,49.61,2885986651.0,0.9051446945337621,4.099999996535933,8,6,17,25.81
1PN+,44,49490826.054936305,58770616.17945595,63753460.78310783,53688622.57649709,53.94,2952149003.5,0.908707124010554,1.700000004593293,11,5,28,25.0
2PN,152,46464009.807355516,56715593.616663866,67509675.55411746,51090231.948833704,66.45,3439197722.0,0.9033935769080744,1.7000000159179633,56,27,69,36.84
2PN+1WC,1,61419029.13756983,61419029.13756983,61419029.13756983,56100813.09201084,62.71,3518081989.0,0.9134109392441397,4.100000012819486,0,0,1,0.0
2PN+2WC,39,51959337.10558252,59665992.61631827,71587750.08824001,53656887.764932565,72.66,3974640727.0,0.9006330856041839,4.0999999986271325,17,6,16,43.59
3PN,56,62770845.38327526,69862669.05593172,80144015.32846716,62415453.12876156,83.01,5203725527.5,0.8941318814277072,1.7000000126245078,14,10,32,25.0
4PN,7,55583013.28702075,57458147.56968641,64296743.65190094,52024570.87309725,126.79,6596195341.0,0.9044877356258381,9.799999997640704,2,0,5,28.57
Garden,8,64699952.591049105,72156151.02998272,84386579.42028986,66502927.90646892,155.55,10361219093.0,0.9202432500902011,2.899999999898694,2,1,5,25.0
Loft,39,59599067.5416873,70747901.1294673,80286707.64174199,63318731.06517803,66.21,4123858505.0,0.9025199939640864,4.10000000358546,12,5,22,30.77
RISA,14,61373283.827493265,67895219.38379923,68870511.16098756,60309132.73471463,55.24,3339494464.5,0.8872194062273714,4.100000006398765,8,2,4,57.14
SkyVilla,1,75420044.61936596,75420044.61936596,75420044.61936596,68523822.13441317,153.11,10491682407.0,0.9085624714257723,9.800000001086575,0,1,0,0.0
