snapshot_date,calculator,project_id,project_external_id,project_name,project_active_calculator,is_active_lineage,launch_date,area_id,area_external_id,area_name,area_bedrooms,area_sqm,area_total_units_planned,units_sold,velocity_7d,velocity_30d,units_remaining,units_reserved,data_quality_status,is_observed,computed_at,units_remaining_is_missing,units_reserved_is_missing,live_units_mirrored,units_available_now,units_reserved_now,units_sold_now,units_blocked_now,area_deals_sold,area_deals_alive,area_conversion_norm
2026-06-08,domain_units_deals,a453a5c4-63a5-5872-95b7-a3b4911aa072,syn1-P-001,Harbor Crest Residences,domain_units_deals,1,2025-08-03,bafde881-f411-5372-9d43-e72f63cd45dd,syn1-A-001,Harbor Crest 1,2,68.50,120,1,1.0000,1.0000,36,3,warning,1,2026-08-18 12:00:42.901000+00:00,0,0,40,23,3,14,0,14,45,0.3111111111111111111111111111
2026-06-09,domain_units_deals,a453a5c4-63a5-5872-95b7-a3b4911aa072,syn1-P-001,Harbor Crest Residences,domain_units_deals,1,2025-08-03,bafde881-f411-5372-9d43-e72f63cd45dd,syn1-A-001,Harbor Crest 1,2,68.50,120,0,0.5000,0.5000,36,3,warning,0,2026-08-18 12:00:42.901000+00:00,0,0,40,23,3,14,0,14,45,0.3111111111111111111111111111
2026-06-10,domain_units_deals,a453a5c4-63a5-5872-95b7-a3b4911aa072,syn1-P-001,Harbor Crest Residences,domain_units_deals,1,2025-08-03,bafde881-f411-5372-9d43-e72f63cd45dd,syn1-A-001,Harbor Crest 1,2,68.50,120,0,0.3333,0.3333,36,3,warning,0,2026-08-18 12:00:42.901000+00:00,0,0,40,23,3,14,0,14,45,0.3111111111111111111111111111
2026-06-11,domain_units_deals,a453a5c4-63a5-5872-95b7-a3b4911aa072,syn1-P-001,Harbor Crest Residences,domain_units_deals,1,2025-08-03,bafde881-f411-5372-9d43-e72f63cd45dd,syn1-A-001,Harbor Crest 1,2,68.50,120,0,0.2500,0.2500,36,3,warning,0,2026-08-18 12:00:42.901000+00:00,0,0,40,23,3,14,0,14,45,0.3111111111111111111111111111
2026-06-12,domain_units_deals,a453a5c4-63a5-5872-95b7-a3b4911aa072,syn1-P-001,Harbor Crest Residences,domain_units_deals,1,2025-08-03,bafde881-f411-5372-9d43-e72f63cd45dd,syn1-A-001,Harbor Crest 1,2,68.50,120,0,0.2000,0.2000,36,3,warning,0,2026-08-18 12:00:42.901000+00:00,0,0,40,23,3,14,0,14,45,0.3111111111111111111111111111
2026-06-13,domain_units_deals,a453a5c4-63a5-5872-95b7-a3b4911aa072,syn1-P-001,Harbor Crest Residences,domain_units_deals,1,2025-08-03,bafde881-f411-5372-9d43-e72f63cd45dd,syn1-A-001,Harbor Crest 1,2,68.50,120,0,0.1667,0.1667,36,3,warning,0,2026-08-18 12:00:42.901000+00:00,0,0,40,23,3,14,0,14,45,0.3111111111111111111111111111
2026-06-14,domain_units_deals,a453a5c4-63a5-5872-95b7-a3b4911aa072,syn1-P-001,Harbor Crest Residences,domain_units_deals,1,2025-08-03,bafde881-f411-5372-9d43-e72f63cd45dd,syn1-A-001,Harbor Crest 1,2,68.50,120,0,0.1429,0.1429,36,3,warning,0,2026-08-18 12:00:42.901000+00:00,0,0,40,23,3,14,0,14,45,0.3111111111111111111111111111
2026-06-15,domain_units_deals,a453a5c4-63a5-5872-95b7-a3b4911aa072,syn1-P-001,Harbor Crest Residences,domain_units_deals,1,2025-08-03,bafde881-f411-5372-9d43-e72f63cd45dd,syn1-A-001,Harbor Crest 1,2,68.50,120,0,0.0000,0.1250,36,3,warning,0,2026-08-18 12:00:42.901000+00:00,0,0,40,23,3,14,0,14,45,0.3111111111111111111111111111
2026-06-16,domain_units_deals,a453a5c4-63a5-5872-95b7-a3b4911aa072,syn1-P-001,Harbor Crest Residences,domain_units_deals,1,2025-08-03,bafde881-f411-5372-9d43-e72f63cd45dd,syn1-A-001,Harbor Crest 1,2,68.50,120,0,0.0000,0.1111,36,3,warning,0,2026-08-18 12:00:42.901000+00:00,0,0,40,23,3,14,0,14,45,0.3111111111111111111111111111
2026-06-17,domain_units_deals,a453a5c4-63a5-5872-95b7-a3b4911aa072,syn1-P-001,Harbor Crest Residences,domain_units_deals,1,2025-08-03,bafde881-f411-5372-9d43-e72f63cd45dd,syn1-A-001,Harbor Crest 1,2,68.50,120,1,0.1429,0.2000,35,3,warning,1,2026-08-18 12:00:42.901000+00:00,0,0,40,23,3,14,0,14,45,0.3111111111111111111111111111
2026-06-18,domain_units_deals,a453a5c4-63a5-5872-95b7-a3b4911aa072,syn1-P-001,Harbor Crest Residences,domain_units_deals,1,2025-08-03,bafde881-f411-5372-9d43-e72f63cd45dd,syn1-A-001,Harbor Crest 1,2,68.50,120,0,0.1429,0.1818,35,3,warning,0,2026-08-18 12:00:42.901000+00:00,0,0,40,23,3,14,0,14,45,0.3111111111111111111111111111
2026-06-19,domain_units_deals,a453a5c4-63a5-5872-95b7-a3b4911aa072,syn1-P-001,Harbor Crest Residences,domain_units_deals,1,2025-08-03,bafde881-f411-5372-9d43-e72f63cd45dd,syn1-A-001,Harbor Crest 1,2,68.50,120,0,0.1429,0.1667,35,3,warning,0,2026-08-18 12:00:42.901000+00:00,0,0,40,23,3,14,0,14,45,0.3111111111111111111111111111
2026-06-20,domain_units_deals,a453a5c4-63a5-5872-95b7-a3b4911aa072,syn1-P-001,Harbor Crest Residences,domain_units_deals,1,2025-08-03,bafde881-f411-5372-9d43-e72f63cd45dd,syn1-A-001,Harbor Crest 1,2,68.50,120,0,0.1429,0.1538,35,3,warning,0,2026-08-18 12:00:42.901000+00:00,0,0,40,23,3,14,0,14,45,0.3111111111111111111111111111
2026-06-21,domain_units_deals,a453a5c4-63a5-5872-95b7-a3b4911aa072,syn1-P-001,Harbor Crest Residences,domain_units_deals,1,2025-08-03,bafde881-f411-5372-9d43-e72f63cd45dd,syn1-A-001,Harbor Crest 1,2,68.50,120,0,0.1429,0.1429,35,3,warning,0,2026-08-18 12:00:42.901000+00:00,0,0,40,23,3,14,0,14,45,0.3111111111111111111111111111
2026-06-22,domain_units_deals,a453a5c4-63a5-5872-95b7-a3b4911aa072,syn1-P-001,Harbor Crest Residences,domain_units_deals,1,2025-08-03,bafde881-f411-5372-9d43-e72f63cd45dd,syn1-A-001,Harbor Crest 1,2,68.50,120,0,0.1429,0.1333,35,3,warning,0,2026-08-18 12:00:42.901000+00:00,0,0,40,23,3,14,0,14,45,0.3111111111111111111111111111
2026-06-23,domain_units_deals,a453a5c4-63a5-5872-95b7-a3b4911aa072,syn1-P-001,Harbor Crest Residences,domain_units_deals,1,2025-08-03,bafde881-f411-5372-9d43-e72f63cd45dd,syn1-A-001,Harbor Crest 1,2,68.50,120,0,0.1429,0.1250,35,3,warning,0,2026-08-18 12:00:42.901000+00:00,0,0,40,23,3,14,0,14,45,0.3111111111111111111111111111
2026-06-24,domain_units_deals,a453a5c4-63a5-5872-95b7-a3b4911aa072,syn1-P-001,Harbor Crest Residences,domain_units_deals,1,2025-08-03,bafde881-f411-5372-9d43-e72f63cd45dd,syn1-A-001,Harbor Crest 1,2,68.50,120,0,0.0000,0.1176,35,3,warning,0,2026-08-18 12:00:42.901000+00:00,0,0,40,23,3,14,0,14,45,0.3111111111111111111111111111
2026-06-25,domain_units_deals,a453a5c4-63a5-5872-95b7-a3b4911aa072,syn1-P-001,Harbor Crest Residences,domain_units_deals,1,2025-08-03,bafde881-f411-5372-9d43-e72f63cd45dd,syn1-A-001,Harbor Crest 1,2,68.50,120,0,0.0000,0.1111,35,3,warning,0,2026-08-18 12:00:42.901000+00:00,0,0,40,23,3,14,0,14,45,0.3111111111111111111111111111
2026-06-26,domain_units_deals,a453a5c4-63a5-5872-95b7-a3b4911aa072,syn1-P-001,Harbor Crest Residences,domain_units_deals,1,2025-08-03,bafde881-f411-5372-9d43-e72f63cd45dd,syn1-A-001,Harbor Crest 1,2,68.50,120,1,0.1429,0.1579,34,3,warning,1,2026-08-18 12:00:42.901000+00:00,0,0,40,23,3,14,0,14,45,0.3111111111111111111111111111
2026-06-27,domain_units_deals,a453a5c4-63a5-5872-95b7-a3b4911aa072,syn1-P-001,Harbor Crest Residences,domain_units_deals,1,2025-08-03,bafde881-f411-5372-9d43-e72f63cd45dd,syn1-A-001,Harbor Crest 1,2,68.50,120,0,0.1429,0.1500,34,3,warning,0,2026-08-18 12:00:42.901000+00:00,0,0,40,23,3,14,0,14,45,0.3111111111111111111111111111
2026-06-28,domain_units_deals,a453a5c4-63a5-5872-95b7-a3b4911aa072,syn1-P-001,Harbor Crest Residences,domain_units_deals,1,2025-08-03,bafde881-f411-5372-9d43-e72f63cd45dd,syn1-A-001,Harbor Crest 1,2,68.50,120,0,0.1429,0.1429,34,3,warning,0,2026-08-18 12:00:42.901000+00:00,0,0,40,23,3,14,0,14,45,0.3111111111111111111111111111
2026-06-29,domain_units_deals,a453a5c4-63a5-5872-95b7-a3b4911aa072,syn1-P-001,Harbor Crest Residences,domain_units_deals,1,2025-08-03,bafde881-f411-5372-9d43-e72f63cd45dd,syn1-A-001,Harbor Crest 1,2,68.50,120,0,0.1429,0.1364,34,3,warning,0,2026-08-18 12:00:42.901000+00:00,0,0,40,23,3,14,0,14,45,0.3111111111111111111111111111
2026-06-30,domain_units_deals,a453a5c4-63a5-5872-95b7-a3b4911aa072,syn1-P-001,Harbor Crest Residences,domain_units_deals,1,2025-08-03,bafde881-f411-5372-9d43-e72f63cd45dd,syn1-A-001,Harbor Crest 1,2,68.50,120,0,0.1429,0.1304,34,3,warning,0,2026-08-18 12:00:42.901000+00:00,0,0,40,23,3,14,0,14,45,0.3111111111111111111111111111
2026-07-01,domain_units_deals,a453a5c4-63a5-5872-95b7-a3b4911aa072,syn1-P-001,Harbor Crest Residences,domain_units_deals,1,2025-08-03,bafde881-f411-5372-9d43-e72f63cd45dd,syn1-A-001,Harbor Crest 1,2,68.50,120,0,0.1429,0.1250,34,3,warning,0,2026-08-18 12:00:42.901000+00:00,0,0,40,23,3,14,0,14,45,0.3111111111111111111111111111
2026-07-02,domain_units_deals,a453a5c4-63a5-5872-95b7-a3b4911aa072,syn1-P-001,Harbor Crest Residences,domain_units_deals,1,2025-08-03,bafde881-f411-5372-9d43-e72f63cd45dd,syn1-A-001,Harbor Crest 1,2,68.50,120,0,0.1429,0.1200,34,3,warning,0,2026-08-18 12:00:42.901000+00:00,0,0,40,23,3,14,0,14,45,0.3111111111111111111111111111
