file,column,status,dtype,source,logic
units_ranking.csv,unit_id,PRESENT,str,units.id,
units_ranking.csv,external_unit_id,PRESENT,str,units.external_unit_id,
units_ranking.csv,unit_code,PRESENT,str,units.unit_code,
units_ranking.csv,project_id,PRESENT,str,projects.id,
units_ranking.csv,project_external_id,PRESENT,str,,
units_ranking.csv,project_name,PRESENT,str,projects.name,
units_ranking.csv,area_id,PRESENT,str,areas.id,
units_ranking.csv,area_external_id,PRESENT,str,,
units_ranking.csv,area_name,PRESENT,str,areas.area_name,
units_ranking.csv,unit_status,PRESENT,str,units.status,
units_ranking.csv,unit_type,PRESENT,str,units.unit_type,
units_ranking.csv,area_bedrooms,PRESENT,int,areas.bedrooms,
units_ranking.csv,area_sqm,PRESENT,Decimal,areas.area_sqm,
units_ranking.csv,area_total_units_planned,PRESENT,int,areas.total_units,
units_ranking.csv,absorption_calculator,PRESENT,str,projects.absorption_calculator,
units_ranking.csv,is_available,PRESENT,int,,1 when units.status='available' (the unit_available feature's raw form)
units_ranking.csv,has_active_deal,PRESENT,int,,1 when the unit has a live reserved or sold deal
units_ranking.csv,deals_total,PRESENT,int,,
units_ranking.csv,funnel_deals_total,PRESENT,int,,"count of live deals in (lead, qualified, interested, viewing)"
units_ranking.csv,deals_lead,PRESENT,int,,
units_ranking.csv,deals_qualified,PRESENT,int,,
units_ranking.csv,deals_interested,PRESENT,int,,
units_ranking.csv,deals_viewing,PRESENT,int,,
units_ranking.csv,deals_reserved,PRESENT,int,,
units_ranking.csv,deals_sold,PRESENT,int,,
units_ranking.csv,deals_lost,PRESENT,int,,
units_ranking.csv,score,PRESENT,Decimal,ranking_scores.score,
units_ranking.csv,score_percent,PRESENT,float,,src.ranking.bands.as_percent: score*100 rounded to 1dp
units_ranking.csv,band,PRESENT,str,,"src.ranking.bands.band_for: high>=0.66, medium>=0.33, else low"
units_ranking.csv,rank_in_area,PRESENT,int,ranking_scores.rank_in_area,
