id,unit_id,area_id,project_id,ranking_run_id,config_version_id,score,rank_in_area,rank_in_project,weight_coverage,contributions,feature_freshness_at,computed_at
bd2aa47b-4733-42dd-afa8-63f7202a8d5c,a99db8bf-802a-5d8a-aaae-df9e55bd4831,3552b1b8-b749-5851-a3b1-1b295129cff8,0fa6dc5b-1574-5004-b44a-e74d1b8695d2,fc0a0274-67c9-473a-9567-d4f3444e0efb,4abcc2b8-fef0-46e7-a7ee-0566aed99f7e,0.7711,1,1,1.0000,"{""area_conversion_norm"":{""contribution"":""0.06"",""direction"":""positive"",""source"":""resolved"",""value"":""0.3"",""weight"":""0.2""},""area_velocity_norm"":{""contribution"":""0.1111111111111111111111111111"",""direction"":""positive"",""source"":""resolved"",""value"":""0.5555555555555555555555555555"",""weight"":""0.2""},""unit_available"":{""contribution"":""0.35"",""direction"":""positive"",""source"":""resolved"",""value"":""1"",""weight"":""0.35""},""unit_demand_norm"":{""contribution"":""0.25"",""direction"":""positive"",""source"":""resolved"",""value"":""1"",""weight"":""0.25""}}",2026-08-18 12:00:44.562367+00:00,2026-08-18 12:00:44.562367+00:00
022fe04f-d3e9-40e9-80c3-465b00f99d68,8ae99e89-31b5-5e17-9b3c-9176b6c38120,3552b1b8-b749-5851-a3b1-1b295129cff8,0fa6dc5b-1574-5004-b44a-e74d1b8695d2,fc0a0274-67c9-473a-9567-d4f3444e0efb,4abcc2b8-fef0-46e7-a7ee-0566aed99f7e,0.6044,2,2,1.0000,"{""area_conversion_norm"":{""contribution"":""0.06"",""direction"":""positive"",""source"":""resolved"",""value"":""0.3"",""weight"":""0.2""},""area_velocity_norm"":{""contribution"":""0.1111111111111111111111111111"",""direction"":""positive"",""source"":""resolved"",""value"":""0.5555555555555555555555555555"",""weight"":""0.2""},""unit_available"":{""contribution"":""0.35"",""direction"":""positive"",""source"":""resolved"",""value"":""1"",""weight"":""0.35""},""unit_demand_norm"":{""contribution"":""0.08333333333333333333333333332"",""direction"":""positive"",""source"":""resolved"",""value"":""0.3333333333333333333333333333"",""weight"":""0.25""}}",2026-08-18 12:00:44.562367+00:00,2026-08-18 12:00:44.562367+00:00
41a80939-1efc-4a3b-98a4-88409d67e4e4,d48e0cfe-981c-517b-8eed-eeaf785e7f23,3552b1b8-b749-5851-a3b1-1b295129cff8,0fa6dc5b-1574-5004-b44a-e74d1b8695d2,fc0a0274-67c9-473a-9567-d4f3444e0efb,4abcc2b8-fef0-46e7-a7ee-0566aed99f7e,0.5211,3,3,1.0000,"{""area_conversion_norm"":{""contribution"":""0.06"",""direction"":""positive"",""source"":""resolved"",""value"":""0.3"",""weight"":""0.2""},""area_velocity_norm"":{""contribution"":""0.1111111111111111111111111111"",""direction"":""positive"",""source"":""resolved"",""value"":""0.5555555555555555555555555555"",""weight"":""0.2""},""unit_available"":{""contribution"":""0.35"",""direction"":""positive"",""source"":""resolved"",""value"":""1"",""weight"":""0.35""},""unit_demand_norm"":{""contribution"":""0.00"",""direction"":""positive"",""source"":""resolved"",""value"":""0"",""weight"":""0.25""}}",2026-08-18 12:00:44.562367+00:00,2026-08-18 12:00:44.562367+00:00
aa208a39-55ac-41c1-ace6-5d3b8eec5aa9,89795c6c-d36c-5cfa-b7a1-6a7aa5ca37cb,3552b1b8-b749-5851-a3b1-1b295129cff8,0fa6dc5b-1574-5004-b44a-e74d1b8695d2,fc0a0274-67c9-473a-9567-d4f3444e0efb,4abcc2b8-fef0-46e7-a7ee-0566aed99f7e,0.5211,4,4,1.0000,"{""area_conversion_norm"":{""contribution"":""0.06"",""direction"":""positive"",""source"":""resolved"",""value"":""0.3"",""weight"":""0.2""},""area_velocity_norm"":{""contribution"":""0.1111111111111111111111111111"",""direction"":""positive"",""source"":""resolved"",""value"":""0.5555555555555555555555555555"",""weight"":""0.2""},""unit_available"":{""contribution"":""0.35"",""direction"":""positive"",""source"":""resolved"",""value"":""1"",""weight"":""0.35""},""unit_demand_norm"":{""contribution"":""0.00"",""direction"":""positive"",""source"":""resolved"",""value"":""0"",""weight"":""0.25""}}",2026-08-18 12:00:44.562367+00:00,2026-08-18 12:00:44.562367+00:00
ba96f86e-c29c-42a0-b57b-292b91ed1ae0,81c331e6-62e9-5f44-a806-dc71466fdc04,3552b1b8-b749-5851-a3b1-1b295129cff8,0fa6dc5b-1574-5004-b44a-e74d1b8695d2,fc0a0274-67c9-473a-9567-d4f3444e0efb,4abcc2b8-fef0-46e7-a7ee-0566aed99f7e,0.5211,5,5,1.0000,"{""area_conversion_norm"":{""contribution"":""0.06"",""direction"":""positive"",""source"":""resolved"",""value"":""0.3"",""weight"":""0.2""},""area_velocity_norm"":{""contribution"":""0.1111111111111111111111111111"",""direction"":""positive"",""source"":""resolved"",""value"":""0.5555555555555555555555555555"",""weight"":""0.2""},""unit_available"":{""contribution"":""0.35"",""direction"":""positive"",""source"":""resolved"",""value"":""1"",""weight"":""0.35""},""unit_demand_norm"":{""contribution"":""0.00"",""direction"":""positive"",""source"":""resolved"",""value"":""0"",""weight"":""0.25""}}",2026-08-18 12:00:44.562367+00:00,2026-08-18 12:00:44.562367+00:00
0a26d953-fa9e-4bc2-b6c6-637272871a5b,1375880e-b96a-5aae-abb8-be99056ae8d9,3552b1b8-b749-5851-a3b1-1b295129cff8,0fa6dc5b-1574-5004-b44a-e74d1b8695d2,fc0a0274-67c9-473a-9567-d4f3444e0efb,4abcc2b8-fef0-46e7-a7ee-0566aed99f7e,0.5211,6,6,1.0000,"{""area_conversion_norm"":{""contribution"":""0.06"",""direction"":""positive"",""source"":""resolved"",""value"":""0.3"",""weight"":""0.2""},""area_velocity_norm"":{""contribution"":""0.1111111111111111111111111111"",""direction"":""positive"",""source"":""resolved"",""value"":""0.5555555555555555555555555555"",""weight"":""0.2""},""unit_available"":{""contribution"":""0.35"",""direction"":""positive"",""source"":""resolved"",""value"":""1"",""weight"":""0.35""},""unit_demand_norm"":{""contribution"":""0.00"",""direction"":""positive"",""source"":""resolved"",""value"":""0"",""weight"":""0.25""}}",2026-08-18 12:00:44.562367+00:00,2026-08-18 12:00:44.562367+00:00
00dbf929-5edb-42df-865d-a41c6b899fa6,6ad774e9-70f5-5764-b9ff-f167278af6e7,3552b1b8-b749-5851-a3b1-1b295129cff8,0fa6dc5b-1574-5004-b44a-e74d1b8695d2,fc0a0274-67c9-473a-9567-d4f3444e0efb,4abcc2b8-fef0-46e7-a7ee-0566aed99f7e,0.5211,7,7,1.0000,"{""area_conversion_norm"":{""contribution"":""0.06"",""direction"":""positive"",""source"":""resolved"",""value"":""0.3"",""weight"":""0.2""},""area_velocity_norm"":{""contribution"":""0.1111111111111111111111111111"",""direction"":""positive"",""source"":""resolved"",""value"":""0.5555555555555555555555555555"",""weight"":""0.2""},""unit_available"":{""contribution"":""0.35"",""direction"":""positive"",""source"":""resolved"",""value"":""1"",""weight"":""0.35""},""unit_demand_norm"":{""contribution"":""0.00"",""direction"":""positive"",""source"":""resolved"",""value"":""0"",""weight"":""0.25""}}",2026-08-18 12:00:44.562367+00:00,2026-08-18 12:00:44.562367+00:00
1873cf53-a596-4648-bb38-57326daa4a3f,f298055d-998c-554c-a271-f5a044321743,3552b1b8-b749-5851-a3b1-1b295129cff8,0fa6dc5b-1574-5004-b44a-e74d1b8695d2,fc0a0274-67c9-473a-9567-d4f3444e0efb,4abcc2b8-fef0-46e7-a7ee-0566aed99f7e,0.5211,8,8,1.0000,"{""area_conversion_norm"":{""contribution"":""0.06"",""direction"":""positive"",""source"":""resolved"",""value"":""0.3"",""weight"":""0.2""},""area_velocity_norm"":{""contribution"":""0.1111111111111111111111111111"",""direction"":""positive"",""source"":""resolved"",""value"":""0.5555555555555555555555555555"",""weight"":""0.2""},""unit_available"":{""contribution"":""0.35"",""direction"":""positive"",""source"":""resolved"",""value"":""1"",""weight"":""0.35""},""unit_demand_norm"":{""contribution"":""0.00"",""direction"":""positive"",""source"":""resolved"",""value"":""0"",""weight"":""0.25""}}",2026-08-18 12:00:44.562367+00:00,2026-08-18 12:00:44.562367+00:00
a046e7b6-f475-40fa-9aa5-dabbdd297189,ffa1cf0f-ab40-5796-b3cc-ab6aa8fbfa25,3552b1b8-b749-5851-a3b1-1b295129cff8,0fa6dc5b-1574-5004-b44a-e74d1b8695d2,fc0a0274-67c9-473a-9567-d4f3444e0efb,4abcc2b8-fef0-46e7-a7ee-0566aed99f7e,0.5211,9,9,1.0000,"{""area_conversion_norm"":{""contribution"":""0.06"",""direction"":""positive"",""source"":""resolved"",""value"":""0.3"",""weight"":""0.2""},""area_velocity_norm"":{""contribution"":""0.1111111111111111111111111111"",""direction"":""positive"",""source"":""resolved"",""value"":""0.5555555555555555555555555555"",""weight"":""0.2""},""unit_available"":{""contribution"":""0.35"",""direction"":""positive"",""source"":""resolved"",""value"":""1"",""weight"":""0.35""},""unit_demand_norm"":{""contribution"":""0.00"",""direction"":""positive"",""source"":""resolved"",""value"":""0"",""weight"":""0.25""}}",2026-08-18 12:00:44.562367+00:00,2026-08-18 12:00:44.562367+00:00
ebe6dc7e-ef3f-4aa3-8363-37abeeec9961,55e0698b-d01a-557a-b419-07bb42214117,3552b1b8-b749-5851-a3b1-1b295129cff8,0fa6dc5b-1574-5004-b44a-e74d1b8695d2,fc0a0274-67c9-473a-9567-d4f3444e0efb,4abcc2b8-fef0-46e7-a7ee-0566aed99f7e,0.5211,10,10,1.0000,"{""area_conversion_norm"":{""contribution"":""0.06"",""direction"":""positive"",""source"":""resolved"",""value"":""0.3"",""weight"":""0.2""},""area_velocity_norm"":{""contribution"":""0.1111111111111111111111111111"",""direction"":""positive"",""source"":""resolved"",""value"":""0.5555555555555555555555555555"",""weight"":""0.2""},""unit_available"":{""contribution"":""0.35"",""direction"":""positive"",""source"":""resolved"",""value"":""1"",""weight"":""0.35""},""unit_demand_norm"":{""contribution"":""0.00"",""direction"":""positive"",""source"":""resolved"",""value"":""0"",""weight"":""0.25""}}",2026-08-18 12:00:44.562367+00:00,2026-08-18 12:00:44.562367+00:00
