id,source_system,source_instance_id,external_unit_id,area_id,unit_code,unit_type,status,source_revision,source_updated_at,deleted_at,created_at,updated_at
99d0fa9a-05a9-58eb-b7fe-c4b92dcde556,synthetic_csv,synthetic-csv-v1,syn1-U-A-001-001,bafde881-f411-5372-9d43-e72f63cd45dd,HC1-001,2BR,sold,2,2026-07-19T00:00:00Z,\N,2025-08-13T12:00:00Z,2026-07-19T00:00:00Z
4001e989-17c5-56cb-a795-1bc32d17c14d,synthetic_csv,synthetic-csv-v1,syn1-U-A-001-002,bafde881-f411-5372-9d43-e72f63cd45dd,HC1-002,2BR,sold,2,2026-07-19T00:00:00Z,\N,2025-08-14T00:00:00Z,2026-07-19T00:00:00Z
f06ea21d-9079-5536-981a-9985f505519f,synthetic_csv,synthetic-csv-v1,syn1-U-A-001-003,bafde881-f411-5372-9d43-e72f63cd45dd,HC1-003,2BR,sold,2,2026-07-19T00:00:00Z,\N,2025-08-14T12:00:00Z,2026-07-19T00:00:00Z
60d41c2a-ba1f-58f7-97c4-a2349ca3b04f,synthetic_csv,synthetic-csv-v1,syn1-U-A-001-004,bafde881-f411-5372-9d43-e72f63cd45dd,HC1-004,2BR,sold,2,2026-07-19T00:00:00Z,\N,2025-08-15T00:00:00Z,2026-07-19T00:00:00Z
3ce5ad94-2cd9-56c9-a7b2-e14d99a024ab,synthetic_csv,synthetic-csv-v1,syn1-U-A-001-005,bafde881-f411-5372-9d43-e72f63cd45dd,HC1-005,2BR,sold,2,2026-07-19T00:00:00Z,\N,2025-08-15T12:00:00Z,2026-07-19T00:00:00Z
2e0f43a9-d9bb-5934-bb70-5034ff6a8402,synthetic_csv,synthetic-csv-v1,syn1-U-A-001-006,bafde881-f411-5372-9d43-e72f63cd45dd,HC1-006,2BR,sold,2,2026-07-19T00:00:00Z,\N,2025-08-16T00:00:00Z,2026-07-19T00:00:00Z
0ecaf8cd-a554-5046-b973-887f8e27cc5a,synthetic_csv,synthetic-csv-v1,syn1-U-A-001-007,bafde881-f411-5372-9d43-e72f63cd45dd,HC1-007,2BR,sold,2,2026-07-19T00:00:00Z,\N,2025-08-16T12:00:00Z,2026-07-19T00:00:00Z
e89276c1-70e0-5801-a967-9d39f602f735,synthetic_csv,synthetic-csv-v1,syn1-U-A-001-008,bafde881-f411-5372-9d43-e72f63cd45dd,HC1-008,2BR,sold,2,2026-07-19T00:00:00Z,\N,2025-08-17T00:00:00Z,2026-07-19T00:00:00Z
ca993117-4b96-5e14-a653-d13d96c2fb38,synthetic_csv,synthetic-csv-v1,syn1-U-A-001-009,bafde881-f411-5372-9d43-e72f63cd45dd,HC1-009,2BR,sold,2,2026-07-19T00:00:00Z,\N,2025-08-17T12:00:00Z,2026-07-19T00:00:00Z
5c7d9d66-e998-50ee-a4aa-540ff251cf6f,synthetic_csv,synthetic-csv-v1,syn1-U-A-001-010,bafde881-f411-5372-9d43-e72f63cd45dd,HC1-010,2BR,sold,2,2026-07-19T00:00:00Z,\N,2025-08-18T00:00:00Z,2026-07-19T00:00:00Z
6e563075-5fa8-5785-8bab-a3c27e1450ca,synthetic_csv,synthetic-csv-v1,syn1-U-A-001-011,bafde881-f411-5372-9d43-e72f63cd45dd,HC1-011,2BR,sold,2,2026-07-19T00:00:00Z,\N,2025-08-18T12:00:00Z,2026-07-19T00:00:00Z
4e082fdd-c6b4-5372-8657-5b5213162f67,synthetic_csv,synthetic-csv-v1,syn1-U-A-001-012,bafde881-f411-5372-9d43-e72f63cd45dd,HC1-012,2BR,sold,2,2026-07-19T00:00:00Z,\N,2025-08-19T00:00:00Z,2026-07-19T00:00:00Z
f799ddd7-f070-5980-91a2-bdbb0889694a,synthetic_csv,synthetic-csv-v1,syn1-U-A-001-013,bafde881-f411-5372-9d43-e72f63cd45dd,HC1-013,2BR,sold,2,2026-07-19T00:00:00Z,\N,2025-08-19T12:00:00Z,2026-07-19T00:00:00Z
8fcd2951-c3e3-59bb-8255-fe7b2178ed8b,synthetic_csv,synthetic-csv-v1,syn1-U-A-001-014,bafde881-f411-5372-9d43-e72f63cd45dd,HC1-014,2BR,sold,2,2026-07-19T00:00:00Z,\N,2025-08-20T00:00:00Z,2026-07-19T00:00:00Z
bbfeb2c6-1e9e-5a44-942a-c4c5bf15b14b,synthetic_csv,synthetic-csv-v1,syn1-U-A-001-015,bafde881-f411-5372-9d43-e72f63cd45dd,HC1-015,2BR,reserved,2,2026-07-19T00:00:00Z,\N,2025-08-20T12:00:00Z,2026-07-19T00:00:00Z
3468da4a-1cee-5d66-9dad-9f393acc1e40,synthetic_csv,synthetic-csv-v1,syn1-U-A-001-016,bafde881-f411-5372-9d43-e72f63cd45dd,HC1-016,2BR,reserved,2,2026-07-19T00:00:00Z,\N,2025-08-21T00:00:00Z,2026-07-19T00:00:00Z
d51a1565-666d-568d-b629-f53e2358db39,synthetic_csv,synthetic-csv-v1,syn1-U-A-001-017,bafde881-f411-5372-9d43-e72f63cd45dd,HC1-017,2BR,reserved,2,2026-07-19T00:00:00Z,\N,2025-08-21T12:00:00Z,2026-07-19T00:00:00Z
f1221bff-847c-5c29-96f3-d01bac80c376,synthetic_csv,synthetic-csv-v1,syn1-U-A-001-018,bafde881-f411-5372-9d43-e72f63cd45dd,HC1-018,2BR,available,2,2026-07-19T00:00:00Z,\N,2025-08-22T00:00:00Z,2026-07-19T00:00:00Z
